pos	X
59.0	2.27375e-13
59.005	0.0
59.01	2.27375e-13
59.015	6.82124e-13
59.02	0.0
59.025	0.0
59.03	0.0
59.035	0.0
59.04	-2.27375e-13
59.045	0.0
59.05	0.0
59.055	0.0
59.06	4.54751e-13
59.065	0.0
59.07	0.0
59.075	2.27375e-13
59.08	4.54751e-13
59.085	4.54751e-13
59.09	2.27375e-13
59.095	0.0
59.1	-2.27375e-13
59.105	-2.27375e-13
59.11	0.0
59.115	0.0
59.12	0.0
59.125	4.54751e-13
59.13	4.54751e-13
59.135	2.27375e-13
59.14	-2.27375e-13
59.145	0.0
59.15	0.0
59.155	0.0
59.16	0.0
59.165	4.54751e-13
59.17	0.0
59.175	-2.27375e-13
59.18	0.0
59.185	0.0
59.19	2.27375e-13
59.195	2.27375e-13
59.2	0.0
59.205	-2.27375e-13
59.21	0.0
59.215	0.0
59.22	0.0
59.225	2.27375e-13
59.23	0.0
59.235	4.54751e-13
59.24	4.54751e-13
59.245	2.27375e-13
59.25	4.54751e-13
59.255	2.27375e-13
59.26	4.54751e-13
59.265	4.54751e-13
59.27	4.54751e-13
59.275	0.0
59.28	0.0
59.285	4.54751e-13
59.29	6.82124e-13
59.295	4.54751e-13
59.3	4.54751e-13
59.305	4.54751e-13
59.31	9.09502e-13
59.315	6.82124e-13
59.32	4.54751e-13
59.325	6.82124e-13
59.33	4.54751e-13
59.335	6.82124e-13
59.34	4.54751e-13
59.345	4.54751e-13
59.35	2.27375e-13
59.355	6.82124e-13
59.36	1.36425e-12
59.365	1.36425e-12
59.37	1.59162e-12
59.375	1.13688e-12
59.38	1.36425e-12
59.385	1.819e-12
59.39	1.59162e-12
59.395	2.04638e-12
59.4	2.27375e-12
59.405	2.27375e-12
59.41	2.50112e-12
59.415	2.95587e-12
59.42	3.63801e-12
59.425	3.86538e-12
59.43	4.32013e-12
59.435	4.5475e-12
59.44	4.77487e-12
59.445	5.00225e-12
59.45	5.68437e-12
59.455	6.13912e-12
