pos	X
59.0	2.27375e-13
59.005	4.54751e-13
59.01	2.27375e-13
59.015	4.54751e-13
59.02	0.0
59.025	-6.82124e-13
59.03	-4.54751e-13
59.035	-4.54751e-13
59.04	0.0
59.045	0.0
59.05	-2.27375e-13
59.055	0.0
59.06	0.0
59.065	-6.82124e-13
59.07	-4.54751e-13
59.075	-2.27375e-13
59.08	0.0
59.085	0.0
59.09	0.0
59.095	0.0
59.1	0.0
59.105	-4.54751e-13
59.11	-4.54751e-13
59.115	-4.54751e-13
59.12	-4.54751e-13
59.125	-6.82124e-13
59.13	-2.27375e-13
59.135	0.0
59.14	2.27375e-13
59.145	0.0
59.15	0.0
59.155	0.0
59.16	-2.27375e-13
59.165	-6.82124e-13
59.17	-4.54751e-13
59.175	-2.27375e-13
59.18	-2.27375e-13
59.185	2.27375e-13
59.19	0.0
59.195	-4.54751e-13
59.2	-4.54751e-13
59.205	-6.82124e-13
59.21	-4.54751e-13
59.215	-2.27375e-13
59.22	0.0
59.225	-4.54751e-13
59.23	-4.54751e-13
59.235	0.0
59.24	0.0
59.245	0.0
59.25	4.54751e-13
59.255	0.0
59.26	-4.54751e-13
59.265	0.0
59.27	0.0
59.275	-4.54751e-13
59.28	0.0
59.285	0.0
59.29	2.27375e-13
59.295	0.0
59.3	0.0
59.305	0.0
59.31	-2.27375e-13
59.315	0.0
59.32	-6.82124e-13
59.325	-2.27375e-13
59.33	2.27375e-13
59.335	4.54751e-13
59.34	0.0
59.345	0.0
59.35	2.27375e-13
59.355	-2.27375e-13
59.36	0.0
59.365	0.0
59.37	-4.54751e-13
59.375	-2.27375e-13
59.38	0.0
59.385	0.0
59.39	4.54751e-13
59.395	4.54751e-13
59.4	-6.82124e-13
59.405	-6.82124e-13
59.41	2.27375e-13
59.415	2.27375e-13
59.42	0.0
59.425	-2.27375e-13
59.43	2.27375e-13
59.435	0.0
59.44	0.0
59.445	0.0
59.45	-2.27375e-13
59.455	0.0
59.46	0.0
59.465	0.0
59.47	4.54751e-13
59.475	0.0
59.48	0.0
59.485	0.0
59.49	4.54751e-13
59.495	2.27375e-13
59.5	9.09502e-13
59.505	4.54751e-13
59.51	4.54751e-13
59.515	6.82124e-13
59.52	4.54751e-13
59.525	0.0
59.53	4.54751e-13
59.535	4.54751e-13
59.54	9.09502e-13
59.545	6.82124e-13
59.55	9.09502e-13
59.555	1.13688e-12
59.56	9.09502e-13
59.565	1.13688e-12
59.57	1.36425e-12
59.575	1.36425e-12
59.58	1.36425e-12
59.585	1.13688e-12
59.59	1.36425e-12
59.595	1.13688e-12
59.6	1.13688e-12
59.605	1.13688e-12
59.61	9.09502e-13
59.615	1.36425e-12
59.62	2.04638e-12
59.625	1.59162e-12
59.63	1.59162e-12
59.635	2.04638e-12
59.64	2.27375e-12
59.645	2.04638e-12
59.65	1.819e-12
59.655	1.59162e-12
59.66	2.27375e-12
59.665	2.50112e-12
59.67	2.95587e-12
59.675	3.63801e-12
59.68	3.18325e-12
59.685	2.95587e-12
59.69	2.95587e-12
59.695	2.95587e-12
59.7	2.95587e-12
59.705	3.63801e-12
59.71	3.63801e-12
59.715	3.63801e-12
59.72	3.63801e-12
59.725	3.86538e-12
59.73	4.32013e-12
59.735	4.32013e-12
59.74	4.77487e-12
59.745	5.00225e-12
59.75	5.00225e-12
59.755	4.77487e-12
59.76	4.77487e-12
59.765	5.22962e-12
59.77	4.77487e-12
59.775	5.22962e-12
59.78	5.457e-12
59.785	5.68437e-12
59.79	5.457e-12
59.795	5.68437e-12
59.8	5.68437e-12
59.805	5.68437e-12
59.81	5.91174e-12
59.815	6.13912e-12
59.82	5.91174e-12
59.825	5.91174e-12
59.83	5.457e-12
59.835	5.457e-12
59.84	5.457e-12
59.845	5.00225e-12
59.85	5.00225e-12
59.855	4.32013e-12
59.86	3.63801e-12
59.865	3.41062e-12
59.87	2.50112e-12
59.875	2.27375e-12
59.88	1.59162e-12
59.885	1.36425e-12
59.89	4.54751e-13
59.895	-1.13688e-12
59.9	-2.04638e-12
59.905	-3.86538e-12
59.91	-4.77487e-12
59.915	-5.68437e-12
59.92	-6.82124e-12
59.925	-8.41288e-12
59.93	-1.06866e-11
59.935	-1.2733e-11
59.94	-1.4552e-11
59.945	-1.6371e-11
59.95	-1.88721e-11
59.955	-2.06911e-11
59.96	-2.31922e-11
59.965	-2.63755e-11
59.97	-2.88766e-11
59.975	-3.20599e-11
59.98	-3.638e-11
59.985	-4.0018e-11
59.99	-4.38833e-11
59.995	-4.82034e-11
60.0	-5.29783e-11
60.005	-5.75258e-11
60.01	-6.34377e-11
60.015	-6.93494e-11
60.02	-7.57159e-11
60.025	-8.20823e-11
60.03	-8.91309e-11
60.035	-9.79985e-11
60.04	-1.05274e-10
60.045	-1.13005e-10
