pos	X
59.0	0.0
59.005	0.0
59.01	0.0
59.015	0.0
59.02	0.0
59.025	-2.27375e-13
59.03	-2.27375e-13
59.035	-4.54751e-13
59.04	-6.82124e-13
59.045	-6.82124e-13
59.05	-2.27375e-13
59.055	0.0
59.06	-4.54751e-13
59.065	-2.27375e-13
59.07	0.0
59.075	-4.54751e-13
59.08	-6.82124e-13
59.085	-2.27375e-13
59.09	-2.27375e-13
59.095	-2.27375e-13
59.1	-4.54751e-13
59.105	-6.82124e-13
59.11	-4.54751e-13
59.115	-4.54751e-13
59.12	-6.82124e-13
59.125	-6.82124e-13
59.13	-2.27375e-13
59.135	-6.82124e-13
59.14	-6.82124e-13
59.145	-6.82124e-13
59.15	-6.82124e-13
59.155	-6.82124e-13
59.16	-2.27375e-13
59.165	0.0
59.17	-2.27375e-13
59.175	-2.27375e-13
59.18	-6.82124e-13
59.185	0.0
59.19	-2.27375e-13
59.195	-4.54751e-13
59.2	-6.82124e-13
59.205	-6.82124e-13
59.21	-2.27375e-13
59.215	-2.27375e-13
59.22	-4.54751e-13
59.225	0.0
59.23	-2.27375e-13
59.235	-4.54751e-13
59.24	-2.27375e-13
59.245	0.0
59.25	-4.54751e-13
59.255	-2.27375e-13
59.26	-4.54751e-13
59.265	-6.82124e-13
59.27	-4.54751e-13
59.275	0.0
59.28	0.0
59.285	-2.27375e-13
59.29	0.0
59.295	0.0
59.3	-6.82124e-13
59.305	-6.82124e-13
59.31	-2.27375e-13
59.315	2.27375e-13
59.32	0.0
59.325	-2.27375e-13
59.33	2.27375e-13
59.335	-4.54751e-13
59.34	0.0
59.345	-9.09502e-13
59.35	-4.54751e-13
59.355	0.0
59.36	0.0
59.365	-4.54751e-13
59.37	-4.54751e-13
59.375	-4.54751e-13
59.38	-4.54751e-13
59.385	-6.82124e-13
59.39	0.0
59.395	2.27375e-13
59.4	-2.27375e-13
59.405	-2.27375e-13
59.41	0.0
59.415	-4.54751e-13
59.42	-4.54751e-13
59.425	2.27375e-13
59.43	2.27375e-13
59.435	4.54751e-13
59.44	2.27375e-13
59.445	2.27375e-13
59.45	4.54751e-13
59.455	6.82124e-13
59.46	0.0
59.465	0.0
59.47	4.54751e-13
59.475	9.09502e-13
59.48	9.09502e-13
59.485	1.13688e-12
59.49	9.09502e-13
59.495	4.54751e-13
59.5	6.82124e-13
59.505	4.54751e-13
59.51	6.82124e-13
59.515	6.82124e-13
59.52	6.82124e-13
59.525	4.54751e-13
59.53	4.54751e-13
59.535	4.54751e-13
59.54	2.27375e-13
59.545	4.54751e-13
59.55	9.09502e-13
59.555	6.82124e-13
59.56	6.82124e-13
59.565	9.09502e-13
59.57	1.13688e-12
59.575	1.13688e-12
59.58	1.36425e-12
59.585	1.13688e-12
59.59	1.13688e-12
59.595	9.09502e-13
59.6	6.82124e-13
59.605	1.36425e-12
59.61	1.819e-12
59.615	1.36425e-12
59.62	1.13688e-12
59.625	1.59162e-12
59.63	2.04638e-12
59.635	1.36425e-12
59.64	1.819e-12
59.645	1.59162e-12
59.65	2.04638e-12
59.655	2.04638e-12
59.66	1.819e-12
59.665	2.04638e-12
59.67	2.27375e-12
59.675	2.27375e-12
59.68	2.95587e-12
59.685	3.18325e-12
59.69	3.41062e-12
59.695	2.95587e-12
59.7	2.50112e-12
59.705	2.95587e-12
59.71	3.41062e-12
