pos	X
56.0	-4.54751e-13
56.005	-6.82124e-13
56.01	-6.82124e-13
56.015	-4.54751e-13
56.02	0.0
56.025	0.0
56.03	4.54751e-13
56.035	0.0
56.04	0.0
56.045	-2.27375e-13
56.05	-4.54751e-13
56.055	-9.09502e-13
56.06	-9.09502e-13
56.065	-9.09502e-13
56.07	-1.13688e-12
56.075	-6.82124e-13
56.08	-4.54751e-13
56.085	-6.82124e-13
56.09	-1.13688e-12
56.095	-6.82124e-13
56.1	-6.82124e-13
56.105	-2.27375e-13
56.11	2.27375e-13
56.115	2.27375e-13
56.12	0.0
56.125	0.0
56.13	0.0
56.135	-9.09502e-13
56.14	-1.13688e-12
56.145	-6.82124e-13
56.15	-6.82124e-13
56.155	-6.82124e-13
56.16	-6.82124e-13
56.165	-6.82124e-13
56.17	-6.82124e-13
56.175	0.0
56.18	4.54751e-13
56.185	4.54751e-13
56.19	6.82124e-13
56.195	1.13688e-12
56.2	1.13688e-12
56.205	9.09502e-13
56.21	6.82124e-13
56.215	6.82124e-13
56.22	1.13688e-12
56.225	6.82124e-13
56.23	6.82124e-13
56.235	6.82124e-13
56.24	9.09502e-13
56.245	1.13688e-12
56.25	1.13688e-12
56.255	1.13688e-12
56.26	4.54751e-13
56.265	2.27375e-13
56.27	4.54751e-13
56.275	6.82124e-13
56.28	4.54751e-13
56.285	0.0
56.29	0.0
56.295	2.27375e-13
56.3	4.54751e-13
56.305	0.0
56.31	2.27375e-13
56.315	4.54751e-13
56.32	6.82124e-13
56.325	1.819e-12
56.33	1.819e-12
56.335	1.819e-12
56.34	2.04638e-12
56.345	2.27375e-12
56.35	1.819e-12
56.355	1.819e-12
56.36	1.819e-12
56.365	2.27375e-12
56.37	2.50112e-12
56.375	2.7285e-12
56.38	2.7285e-12
56.385	2.95587e-12
56.39	2.50112e-12
56.395	2.50112e-12
56.4	2.27375e-12
56.405	2.04638e-12
56.41	2.04638e-12
56.415	2.7285e-12
56.42	2.95587e-12
56.425	2.95587e-12
56.43	2.7285e-12
56.435	2.7285e-12
56.44	2.95587e-12
56.445	2.95587e-12
56.45	2.95587e-12
56.455	2.95587e-12
56.46	2.27375e-12
56.465	1.819e-12
56.47	1.59162e-12
56.475	1.59162e-12
56.48	1.819e-12
56.485	2.04638e-12
56.49	2.27375e-12
56.495	2.27375e-12
56.5	2.04638e-12
56.505	1.819e-12
56.51	1.59162e-12
56.515	1.59162e-12
56.52	1.59162e-12
56.525	1.59162e-12
56.53	1.13688e-12
56.535	1.13688e-12
56.54	6.82124e-13
56.545	4.54751e-13
56.55	-2.27375e-13
56.555	-9.09502e-13
56.56	-1.819e-12
56.565	-2.27375e-12
56.57	-2.50112e-12
56.575	-2.27375e-12
56.58	-2.27375e-12
56.585	-2.50112e-12
56.59	-2.04638e-12
56.595	-1.819e-12
56.6	-2.04638e-12
56.605	-2.50112e-12
56.61	-2.7285e-12
56.615	-3.18325e-12
56.62	-3.18325e-12
56.625	-3.18325e-12
56.63	-3.18325e-12
56.635	-3.41062e-12
56.64	-3.86538e-12
56.645	-4.32013e-12
56.65	-5.00225e-12
56.655	-6.13912e-12
56.66	-6.82124e-12
56.665	-7.04861e-12
56.67	-7.04861e-12
56.675	-6.59386e-12
56.68	-6.36649e-12
56.685	-6.13912e-12
56.69	-6.59386e-12
56.695	-6.13912e-12
56.7	-5.457e-12
56.705	-4.32013e-12
56.71	-2.7285e-12
56.715	-1.36425e-12
56.72	-2.27375e-13
56.725	9.09502e-13
56.73	2.04638e-12
56.735	3.18325e-12
56.74	4.77487e-12
56.745	6.13912e-12
56.75	8.18551e-12
56.755	1.04592e-11
56.76	1.2733e-11
56.765	1.43246e-11
56.77	1.56889e-11
56.775	1.65984e-11
56.78	1.79626e-11
56.785	1.90995e-11
56.79	1.93269e-11
56.795	1.93269e-11
56.8	1.90995e-11
56.805	1.86448e-11
56.81	1.79626e-11
56.815	1.68258e-11
56.82	1.54615e-11
56.825	1.36425e-11
56.83	1.13687e-11
56.835	8.64026e-12
56.84	5.91174e-12
56.845	2.95587e-12
56.85	4.54751e-13
56.855	-1.59162e-12
56.86	-3.63801e-12
56.865	-5.68437e-12
56.87	-7.95813e-12
56.875	-9.77712e-12
56.88	-1.15961e-11
56.885	-1.34151e-11
56.89	-1.4552e-11
56.895	-1.50068e-11
56.9	-1.54615e-11
56.905	-1.50068e-11
56.91	-1.4552e-11
56.915	-1.40972e-11
56.92	-1.36425e-11
56.925	-1.31877e-11
56.93	-1.25056e-11
56.935	-1.25056e-11
56.94	-1.20509e-11
56.945	-1.0914e-11
56.95	-9.32238e-12
56.955	-7.50339e-12
56.96	-5.68437e-12
56.965	-3.63801e-12
56.97	-2.04638e-12
56.975	-1.36425e-12
56.98	0.0
56.985	1.13688e-12
56.99	1.819e-12
56.995	2.04638e-12
57.0	2.27375e-12
57.005	2.95587e-12
57.01	3.41062e-12
57.015	3.63801e-12
57.02	2.95587e-12
57.025	2.7285e-12
57.03	2.7285e-12
57.035	2.27375e-12
57.04	1.819e-12
57.045	1.36425e-12
57.05	1.13688e-12
57.055	1.13688e-12
57.06	1.13688e-12
57.065	1.36425e-12
57.07	6.82124e-13
57.075	2.27375e-13
57.08	0.0
57.085	0.0
57.09	-6.82124e-13
57.095	-1.36425e-12
57.1	-2.04638e-12
57.105	-1.819e-12
57.11	-2.04638e-12
57.115	-2.27375e-12
57.12	-2.95587e-12
57.125	-3.18325e-12
57.13	-3.63801e-12
57.135	-3.63801e-12
57.14	-3.63801e-12
57.145	-3.18325e-12
57.15	-2.7285e-12
57.155	-2.50112e-12
57.16	-2.50112e-12
57.165	-2.50112e-12
57.17	-2.04638e-12
57.175	-1.36425e-12
57.18	-1.36425e-12
57.185	-1.13688e-12
57.19	-1.13688e-12
57.195	-1.36425e-12
57.2	-1.36425e-12
57.205	-1.36425e-12
57.21	-1.59162e-12
57.215	-1.13688e-12
57.22	-6.82124e-13
57.225	-6.82124e-13
57.23	-4.54751e-13
57.235	0.0
57.24	0.0
57.245	2.27375e-13
57.25	2.27375e-13
57.255	2.27375e-13
57.26	2.27375e-13
57.265	0.0
57.27	0.0
57.275	2.27375e-13
57.28	0.0
57.285	-2.27375e-13
57.29	-6.82124e-13
57.295	-6.82124e-13
57.3	-4.54751e-13
57.305	-6.82124e-13
57.31	-9.09502e-13
57.315	-1.36425e-12
57.32	-1.13688e-12
57.325	-6.82124e-13
57.33	-4.54751e-13
57.335	-2.27375e-13
57.34	-2.27375e-13
57.345	0.0
57.35	-2.27375e-13
57.355	0.0
57.36	0.0
57.365	0.0
57.37	-2.27375e-13
57.375	-4.54751e-13
57.38	-6.82124e-13
57.385	-6.82124e-13
57.39	-6.82124e-13
57.395	-9.09502e-13
57.4	-6.82124e-13
57.405	-1.13688e-12
57.41	-9.09502e-13
57.415	-4.54751e-13
57.42	-4.54751e-13
