pos	X
55.0	0.0
55.005	1.13688e-12
55.01	-4.54751e-13
55.015	2.27375e-13
55.02	1.59162e-12
55.025	1.13688e-12
55.03	-9.09502e-13
55.035	-6.82124e-13
55.04	-1.36425e-12
55.045	-1.13688e-12
55.05	0.0
55.055	-4.54751e-13
55.06	9.09502e-13
55.065	-4.54751e-13
55.07	-2.27375e-13
55.075	0.0
55.08	6.82124e-13
55.085	-2.27375e-13
55.09	4.54751e-13
55.095	-4.54751e-13
55.1	-1.36425e-12
55.105	-1.59162e-12
55.11	-6.82124e-13
55.115	0.0
55.12	6.82124e-13
55.125	0.0
55.13	-4.54751e-13
55.135	-6.82124e-13
55.14	-6.82124e-13
55.145	-9.09502e-13
55.15	-1.13688e-12
55.155	6.82124e-13
55.16	-2.27375e-13
55.165	4.54751e-13
55.17	4.54751e-13
55.175	-9.09502e-13
55.18	0.0
55.185	-6.82124e-13
55.19	0.0
55.195	0.0
55.2	-2.04638e-12
55.205	-4.54751e-13
55.21	-1.36425e-12
55.215	-6.82124e-13
55.22	-2.50112e-12
55.225	-6.82124e-13
55.23	-1.13688e-12
55.235	-1.13688e-12
55.24	-6.82124e-13
55.245	-1.36425e-12
55.25	-1.36425e-12
55.255	-6.82124e-13
55.26	-4.54751e-13
55.265	-1.13688e-12
55.27	-4.54751e-13
55.275	-1.59162e-12
55.28	-9.09502e-13
55.285	-2.50112e-12
55.29	-2.04638e-12
55.295	-2.27375e-13
55.3	1.13688e-12
55.305	-4.54751e-13
55.31	-1.36425e-12
55.315	-2.04638e-12
55.32	-6.82124e-13
55.325	0.0
55.33	-4.54751e-13
55.335	-6.82124e-13
55.34	4.54751e-13
55.345	0.0
55.35	0.0
55.355	-1.36425e-12
55.36	-1.36425e-12
55.365	4.54751e-13
55.37	4.54751e-13
55.375	-2.27375e-13
55.38	-6.82124e-13
55.385	0.0
55.39	-2.27375e-13
55.395	-6.82124e-13
55.4	2.27375e-12
55.405	0.0
55.41	-6.82124e-13
55.415	-6.82124e-13
55.42	2.27375e-13
55.425	0.0
55.43	4.54751e-13
55.435	4.54751e-13
55.44	0.0
55.445	-1.13688e-12
55.45	-6.82124e-13
55.455	-1.13688e-12
55.46	4.54751e-13
55.465	0.0
55.47	-6.82124e-13
55.475	-1.36425e-12
55.48	-2.27375e-13
55.485	2.27375e-13
55.49	-4.54751e-13
55.495	-9.09502e-13
55.5	-1.36425e-12
55.505	-6.82124e-13
55.51	0.0
55.515	-6.82124e-13
55.52	-1.36425e-12
55.525	-1.819e-12
55.53	4.54751e-13
55.535	2.27375e-13
55.54	2.27375e-13
55.545	-2.27375e-13
55.55	-2.27375e-13
55.555	6.82124e-13
55.56	4.54751e-13
55.565	-9.09502e-13
55.57	-1.13688e-12
55.575	4.54751e-13
55.58	-9.09502e-13
55.585	0.0
55.59	-4.54751e-13
55.595	6.82124e-13
55.6	9.09502e-13
55.605	4.54751e-13
55.61	1.13688e-12
55.615	-2.27375e-13
55.62	-1.36425e-12
55.625	0.0
55.63	0.0
55.635	-2.27375e-13
55.64	4.54751e-13
55.645	0.0
55.65	2.27375e-13
55.655	0.0
55.66	0.0
55.665	-4.54751e-13
55.67	-1.59162e-12
55.675	4.54751e-13
55.68	-1.819e-12
55.685	6.82124e-13
55.69	4.54751e-13
55.695	0.0
55.7	-4.54751e-13
55.705	1.819e-12
55.71	4.54751e-13
55.715	2.27375e-13
55.72	2.27375e-13
55.725	2.27375e-13
55.73	0.0
55.735	4.54751e-13
55.74	2.27375e-13
55.745	4.54751e-13
55.75	0.0
55.755	2.27375e-13
55.76	-9.09502e-13
55.765	-1.13688e-12
55.77	-4.54751e-13
55.775	9.09502e-13
55.78	-2.27375e-13
55.785	-6.82124e-13
55.79	-2.27375e-13
55.795	-4.54751e-13
55.8	4.54751e-13
55.805	0.0
55.81	0.0
55.815	0.0
55.82	1.13688e-12
55.825	4.54751e-13
55.83	1.13688e-12
55.835	2.27375e-12
55.84	1.59162e-12
55.845	1.36425e-12
55.85	2.27375e-13
55.855	9.09502e-13
55.86	1.13688e-12
55.865	9.09502e-13
55.87	-4.54751e-13
55.875	-9.09502e-13
55.88	-1.36425e-12
55.885	-6.82124e-13
55.89	1.13688e-12
55.895	4.54751e-13
55.9	-9.09502e-13
55.905	-2.27375e-13
55.91	0.0
55.915	0.0
55.92	-9.09502e-13
55.925	9.09502e-13
55.93	1.36425e-12
55.935	-2.50112e-12
55.94	1.13688e-12
55.945	-1.36425e-12
55.95	1.59162e-12
55.955	1.59162e-12
55.96	-1.36425e-12
55.965	0.0
55.97	0.0
55.975	-1.819e-12
55.98	-2.04638e-12
55.985	-1.36425e-12
55.99	-1.36425e-12
55.995	-2.04638e-12
56.0	-6.82124e-13
56.005	-1.36425e-12
56.01	-2.04638e-12
56.015	-1.59162e-12
56.02	-6.82124e-13
56.025	1.13688e-12
56.03	-4.54751e-13
56.035	-4.5475e-12
56.04	-1.819e-12
56.045	-2.27375e-13
56.05	-1.36425e-12
56.055	-1.13688e-12
56.06	-2.27375e-13
56.065	0.0
56.07	4.54751e-13
56.075	4.54751e-13
56.08	1.13688e-12
56.085	2.95587e-12
56.09	1.36425e-12
56.095	3.86538e-12
56.1	2.95587e-12
56.105	2.50112e-12
56.11	3.41062e-12
56.115	2.50112e-12
56.12	3.41062e-12
56.125	5.91174e-12
56.13	4.32013e-12
56.135	4.5475e-12
56.14	5.00225e-12
56.145	6.36649e-12
56.15	7.04861e-12
56.155	7.95813e-12
56.16	7.95813e-12
56.165	8.41288e-12
56.17	8.18551e-12
56.175	9.32238e-12
56.18	9.32238e-12
56.185	9.095e-12
56.19	9.77712e-12
56.195	1.11414e-11
56.2	1.25056e-11
56.205	1.25056e-11
56.21	1.18235e-11
56.215	1.18235e-11
56.22	1.29604e-11
56.225	1.2733e-11
56.23	1.29604e-11
56.235	1.18235e-11
56.24	1.47794e-11
56.245	1.43246e-11
56.25	1.22782e-11
56.255	1.29604e-11
56.26	1.29604e-11
56.265	1.18235e-11
56.27	1.18235e-11
56.275	1.00045e-11
56.28	1.02319e-11
56.285	8.18551e-12
56.29	6.82124e-12
56.295	5.457e-12
56.3	5.91174e-12
56.305	2.27375e-12
56.31	-6.82124e-13
56.315	-4.09275e-12
56.32	-8.18551e-12
56.325	-1.0914e-11
56.33	-1.52341e-11
56.335	-1.95542e-11
56.34	-2.34196e-11
56.345	-2.88766e-11
56.35	-3.38789e-11
56.355	-4.09275e-11
56.36	-4.77487e-11
56.365	-5.47973e-11
56.37	-5.9345e-11
56.375	-6.86673e-11
56.38	-7.95812e-11
56.385	-8.70846e-11
56.39	-9.68616e-11
56.395	-1.0823e-10
56.4	-1.19599e-10
56.405	-1.29377e-10
56.41	-1.43019e-10
56.415	-1.54842e-10
56.42	-1.66893e-10
56.425	-1.78034e-10
56.43	-1.89858e-10
56.435	-2.01227e-10
56.44	-2.11004e-10
56.445	-2.21008e-10
56.45	-2.28966e-10
56.455	-2.31922e-10
56.46	-2.32377e-10
56.465	-2.29876e-10
56.47	-2.22145e-10
56.475	-2.05319e-10
56.48	-1.87584e-10
