pos	X
55.0	9.09502e-13
55.005	4.54751e-13
55.01	-6.82124e-13
55.015	-6.82124e-13
55.02	-2.27375e-13
55.025	1.59162e-12
55.03	9.09502e-13
55.035	2.27375e-13
55.04	2.27375e-13
55.045	-1.13688e-12
55.05	0.0
55.055	4.54751e-13
55.06	1.13688e-12
55.065	9.09502e-13
55.07	4.54751e-13
55.075	-6.82124e-13
55.08	4.54751e-13
55.085	2.27375e-13
55.09	9.09502e-13
55.095	-6.82124e-13
55.1	-1.13688e-12
55.105	-4.54751e-13
55.11	-1.36425e-12
55.115	-1.59162e-12
55.12	-9.09502e-13
55.125	6.82124e-13
55.13	1.819e-12
55.135	1.13688e-12
55.14	0.0
55.145	-1.36425e-12
55.15	-1.36425e-12
55.155	-6.82124e-13
55.16	-2.27375e-13
55.165	-1.36425e-12
55.17	-1.59162e-12
55.175	-1.36425e-12
55.18	0.0
55.185	-1.59162e-12
55.19	-1.819e-12
55.195	-1.59162e-12
55.2	-4.54751e-13
55.205	2.27375e-13
55.21	4.54751e-13
55.215	-2.04638e-12
55.22	0.0
55.225	-6.82124e-13
55.23	-1.36425e-12
55.235	-2.27375e-13
55.24	-2.04638e-12
55.245	-6.82124e-13
55.25	4.54751e-13
55.255	6.82124e-13
55.26	0.0
55.265	-1.13688e-12
55.27	-1.36425e-12
55.275	-2.27375e-13
55.28	4.54751e-13
55.285	4.54751e-13
55.29	-9.09502e-13
55.295	-1.36425e-12
55.3	-1.59162e-12
55.305	-1.13688e-12
55.31	-6.82124e-13
55.315	-6.82124e-13
55.32	4.54751e-13
55.325	-1.59162e-12
55.33	-2.04638e-12
55.335	-1.13688e-12
55.34	-1.13688e-12
55.345	-1.36425e-12
55.35	-4.54751e-13
55.355	0.0
55.36	-2.04638e-12
55.365	-2.04638e-12
55.37	-2.50112e-12
55.375	-1.36425e-12
55.38	-2.27375e-12
55.385	-4.54751e-13
55.39	0.0
55.395	2.27375e-13
55.4	-4.54751e-13
55.405	-2.27375e-13
55.41	4.54751e-13
55.415	0.0
55.42	-1.59162e-12
55.425	-2.50112e-12
55.43	-9.09502e-13
55.435	-1.819e-12
55.44	-1.36425e-12
55.445	-6.82124e-13
55.45	-1.59162e-12
55.455	-4.54751e-13
55.46	-4.54751e-13
55.465	-9.09502e-13
55.47	-1.36425e-12
55.475	-9.09502e-13
55.48	4.54751e-13
55.485	1.13688e-12
55.49	0.0
55.495	1.36425e-12
55.5	6.82124e-13
55.505	4.54751e-13
55.51	2.27375e-13
55.515	2.27375e-13
55.52	-2.27375e-13
55.525	-2.27375e-13
55.53	-1.819e-12
55.535	4.54751e-13
55.54	0.0
55.545	-4.54751e-13
55.55	0.0
55.555	0.0
55.56	0.0
55.565	-6.82124e-13
55.57	-1.13688e-12
55.575	-6.82124e-13
55.58	-1.36425e-12
55.585	-9.09502e-13
55.59	-9.09502e-13
55.595	1.59162e-12
55.6	0.0
55.605	0.0
55.61	-2.27375e-13
55.615	4.54751e-13
55.62	1.13688e-12
55.625	6.82124e-13
55.63	0.0
55.635	0.0
55.64	1.13688e-12
55.645	2.27375e-13
55.65	1.819e-12
55.655	0.0
55.66	6.82124e-13
55.665	1.13688e-12
55.67	-1.36425e-12
55.675	2.95587e-12
55.68	0.0
55.685	-2.04638e-12
55.69	6.82124e-13
55.695	0.0
55.7	2.27375e-13
55.705	0.0
55.71	0.0
55.715	2.27375e-13
55.72	2.27375e-13
55.725	4.54751e-13
55.73	4.54751e-13
55.735	-1.13688e-12
55.74	-1.13688e-12
55.745	-6.82124e-13
55.75	0.0
55.755	6.82124e-13
55.76	1.13688e-12
55.765	4.54751e-13
55.77	-6.82124e-13
55.775	-2.27375e-13
55.78	4.54751e-13
55.785	2.27375e-13
55.79	1.13688e-12
55.795	4.54751e-13
55.8	6.82124e-13
55.805	0.0
55.81	1.59162e-12
55.815	4.54751e-13
55.82	-2.27375e-13
55.825	9.09502e-13
55.83	0.0
55.835	2.27375e-13
55.84	2.27375e-13
55.845	2.27375e-13
55.85	1.36425e-12
55.855	1.13688e-12
55.86	1.13688e-12
55.865	2.27375e-13
55.87	-9.09502e-13
55.875	4.54751e-13
55.88	6.82124e-13
55.885	9.09502e-13
55.89	2.27375e-13
55.895	4.54751e-13
55.9	6.82124e-13
55.905	1.13688e-12
55.91	4.54751e-13
55.915	4.54751e-13
55.92	1.59162e-12
55.925	4.54751e-13
55.93	-2.27375e-13
55.935	-9.09502e-13
55.94	-6.82124e-13
55.945	0.0
55.95	-1.13688e-12
55.955	-9.09502e-13
55.96	-2.04638e-12
55.965	-9.09502e-13
55.97	-1.36425e-12
55.975	-1.819e-12
