pos	X
56.0	-2.27375e-12
56.005	-2.27375e-13
56.01	2.27375e-13
56.015	0.0
56.02	-6.82124e-13
56.025	-6.82124e-13
56.03	-2.27375e-13
56.035	-6.82124e-13
56.04	-6.82124e-13
56.045	0.0
56.05	4.54751e-13
56.055	0.0
56.06	9.09502e-13
56.065	9.09502e-13
56.07	-2.27375e-13
56.075	-9.09502e-13
56.08	2.27375e-13
56.085	1.13688e-12
56.09	-2.27375e-13
56.095	-2.27375e-13
56.1	-2.27375e-13
56.105	-4.54751e-13
56.11	0.0
56.115	-4.54751e-13
56.12	-6.82124e-13
56.125	-1.36425e-12
56.13	-2.27375e-13
56.135	-2.27375e-13
56.14	-4.54751e-13
56.145	-6.82124e-13
56.15	-2.27375e-13
56.155	-6.82124e-13
56.16	0.0
56.165	4.54751e-13
56.17	-6.82124e-13
56.175	-6.82124e-13
56.18	1.13688e-12
56.185	9.09502e-13
56.19	-6.82124e-13
56.195	-4.54751e-13
56.2	9.09502e-13
56.205	0.0
56.21	-6.82124e-13
56.215	-1.59162e-12
56.22	-2.27375e-13
56.225	0.0
56.23	4.54751e-13
56.235	-6.82124e-13
56.24	-1.13688e-12
56.245	4.54751e-13
56.25	-2.27375e-13
56.255	-6.82124e-13
56.26	-1.36425e-12
56.265	-9.09502e-13
56.27	-1.36425e-12
56.275	-6.82124e-13
56.28	-9.09502e-13
56.285	2.27375e-13
56.29	0.0
56.295	6.82124e-13
56.3	1.13688e-12
56.305	9.09502e-13
56.31	2.27375e-13
56.315	-9.09502e-13
56.32	-9.09502e-13
56.325	0.0
56.33	4.54751e-13
56.335	-4.54751e-13
56.34	2.27375e-13
56.345	4.54751e-13
56.35	1.36425e-12
56.355	4.54751e-13
56.36	-6.82124e-13
56.365	-9.09502e-13
56.37	-4.54751e-13
56.375	0.0
56.38	-9.09502e-13
56.385	-4.54751e-13
56.39	-2.27375e-13
56.395	-4.54751e-13
56.4	0.0
56.405	9.09502e-13
56.41	-1.13688e-12
56.415	-2.27375e-13
56.42	-6.82124e-13
56.425	-9.09502e-13
56.43	-4.54751e-13
56.435	-4.54751e-13
56.44	4.54751e-13
56.445	-6.82124e-13
56.45	-1.13688e-12
56.455	-6.82124e-13
56.46	-2.27375e-13
56.465	-9.09502e-13
56.47	-6.82124e-13
56.475	4.54751e-13
56.48	-6.82124e-13
56.485	-9.09502e-13
56.49	4.54751e-13
56.495	4.54751e-13
56.5	1.13688e-12
56.505	4.54751e-13
56.51	0.0
56.515	4.54751e-13
56.52	6.82124e-13
56.525	4.54751e-13
56.53	-9.09502e-13
56.535	-6.82124e-13
56.54	-2.27375e-13
56.545	-1.59162e-12
56.55	-6.82124e-13
56.555	4.54751e-13
56.56	4.54751e-13
56.565	4.54751e-13
56.57	-6.82124e-13
56.575	-9.09502e-13
56.58	-9.09502e-13
56.585	-6.82124e-13
56.59	4.54751e-13
56.595	0.0
56.6	-2.27375e-13
56.605	-9.09502e-13
56.61	-9.09502e-13
56.615	-6.82124e-13
56.62	-6.82124e-13
56.625	-1.36425e-12
56.63	-9.09502e-13
56.635	-6.82124e-13
56.64	-6.82124e-13
56.645	-6.82124e-13
56.65	-9.09502e-13
56.655	-2.27375e-13
56.66	-4.54751e-13
56.665	-2.27375e-13
56.67	-2.27375e-13
56.675	-6.82124e-13
56.68	4.54751e-13
56.685	2.27375e-13
56.69	-6.82124e-13
56.695	0.0
56.7	4.54751e-13
56.705	-9.09502e-13
56.71	-1.36425e-12
56.715	-1.36425e-12
56.72	0.0
56.725	1.13688e-12
56.73	1.13688e-12
56.735	4.54751e-13
56.74	1.13688e-12
56.745	6.82124e-13
56.75	-6.82124e-13
56.755	-1.36425e-12
56.76	-4.54751e-13
56.765	0.0
56.77	0.0
56.775	2.27375e-13
56.78	-2.27375e-13
56.785	-1.13688e-12
56.79	-2.27375e-13
56.795	0.0
56.8	-9.09502e-13
56.805	-4.54751e-13
56.81	-1.13688e-12
56.815	0.0
56.82	-6.82124e-13
56.825	-6.82124e-13
56.83	0.0
56.835	-9.09502e-13
56.84	-6.82124e-13
56.845	0.0
56.85	-9.09502e-13
56.855	-4.54751e-13
56.86	-4.54751e-13
56.865	2.27375e-13
56.87	0.0
56.875	-4.54751e-13
56.88	-6.82124e-13
56.885	0.0
56.89	4.54751e-13
56.895	-2.27375e-13
56.9	-6.82124e-13
56.905	0.0
56.91	-9.09502e-13
56.915	-9.09502e-13
56.92	4.54751e-13
56.925	4.54751e-13
56.93	4.54751e-13
56.935	-6.82124e-13
56.94	-2.27375e-13
56.945	-1.36425e-12
56.95	-1.13688e-12
56.955	-2.27375e-13
56.96	0.0
56.965	0.0
56.97	-6.82124e-13
56.975	-1.36425e-12
56.98	-4.54751e-13
56.985	0.0
56.99	0.0
56.995	-4.54751e-13
57.0	-6.82124e-13
57.005	-4.54751e-13
57.01	-6.82124e-13
57.015	-2.27375e-13
57.02	0.0
57.025	0.0
57.03	-4.54751e-13
57.035	0.0
57.04	2.27375e-13
57.045	0.0
57.05	4.54751e-13
57.055	0.0
57.06	0.0
57.065	-6.82124e-13
57.07	-6.82124e-13
57.075	0.0
57.08	-6.82124e-13
57.085	-6.82124e-13
57.09	-1.819e-12
57.095	-1.819e-12
57.1	-1.36425e-12
57.105	4.54751e-13
57.11	4.54751e-13
57.115	0.0
57.12	-6.82124e-13
57.125	0.0
57.13	0.0
57.135	0.0
57.14	0.0
57.145	0.0
57.15	-6.82124e-13
57.155	4.54751e-13
57.16	-2.27375e-13
57.165	0.0
57.17	0.0
57.175	1.13688e-12
57.18	1.819e-12
57.185	3.18325e-12
57.19	3.18325e-12
57.195	2.95587e-12
57.2	2.95587e-12
57.205	3.63801e-12
57.21	5.457e-12
57.215	4.09275e-12
57.22	4.5475e-12
57.225	5.457e-12
57.23	5.68437e-12
57.235	6.13912e-12
57.24	7.27601e-12
57.245	8.64026e-12
57.25	8.86763e-12
57.255	9.54975e-12
57.26	1.04592e-11
57.265	1.04592e-11
57.27	1.15961e-11
57.275	1.18235e-11
57.28	1.22782e-11
57.285	1.31877e-11
57.29	1.47794e-11
57.295	1.47794e-11
57.3	1.43246e-11
57.305	1.47794e-11
57.31	1.61436e-11
57.315	1.61436e-11
57.32	1.61436e-11
57.325	1.54615e-11
57.33	1.61436e-11
57.335	1.6371e-11
57.34	1.70531e-11
57.345	1.6371e-11
57.35	1.68258e-11
57.355	1.56889e-11
57.36	1.52341e-11
57.365	1.36425e-11
57.37	1.34151e-11
57.375	1.25056e-11
57.38	1.06866e-11
57.385	8.64026e-12
57.39	6.82124e-12
57.395	4.77487e-12
57.4	2.27375e-12
57.405	-6.82124e-13
57.41	-4.09275e-12
57.415	-8.18551e-12
57.42	-1.22782e-11
57.425	-1.61436e-11
57.43	-2.13732e-11
57.435	-2.61481e-11
57.44	-3.31968e-11
57.445	-4.0018e-11
57.45	-4.86582e-11
57.455	-5.72984e-11
57.46	-6.82125e-11
57.465	-8.02634e-11
57.47	-9.07225e-11
57.475	-1.03001e-10
57.48	-1.15506e-10
57.485	-1.30286e-10
57.49	-1.48021e-10
57.495	-1.64847e-10
57.5	-1.82355e-10
57.505	-1.99862e-10
57.51	-2.17825e-10
57.515	-2.39199e-10
57.52	-2.60572e-10
57.525	-2.80354e-10
57.53	-2.9968e-10
57.535	-3.1878e-10
57.54	-3.37197e-10
57.545	-3.54932e-10
57.55	-3.69939e-10
57.555	-3.79488e-10
57.56	-3.82444e-10
57.565	-3.79716e-10
57.57	-3.69029e-10
57.575	-3.51067e-10
57.58	-3.2219e-10
57.585	-2.80808e-10
57.59	-2.25783e-10
57.595	-1.56661e-10
