pos	X
57.0	1.13688e-12
57.005	1.36425e-12
57.01	1.59162e-12
57.015	1.59162e-12
57.02	1.59162e-12
57.025	1.13688e-12
57.03	4.54751e-13
57.035	1.13688e-12
57.04	1.819e-12
57.045	1.13688e-12
57.05	9.09502e-13
57.055	1.13688e-12
57.06	4.54751e-13
57.065	6.82124e-13
57.07	4.54751e-13
57.075	2.27375e-13
57.08	9.09502e-13
57.085	1.36425e-12
57.09	1.13688e-12
57.095	1.13688e-12
57.1	6.82124e-13
57.105	4.54751e-13
57.11	6.82124e-13
57.115	2.27375e-13
57.12	9.09502e-13
57.125	2.27375e-13
57.13	4.54751e-13
57.135	4.54751e-13
57.14	4.54751e-13
57.145	2.27375e-13
57.15	6.82124e-13
57.155	6.82124e-13
57.16	2.27375e-13
57.165	4.54751e-13
57.17	0.0
57.175	0.0
57.18	-6.82124e-13
57.185	-9.09502e-13
57.19	-2.27375e-13
57.195	-6.82124e-13
57.2	-6.82124e-13
57.205	-2.27375e-13
57.21	-2.27375e-13
57.215	0.0
57.22	-4.54751e-13
57.225	-2.27375e-13
57.23	-6.82124e-13
57.235	-1.36425e-12
57.24	-6.82124e-13
57.245	-6.82124e-13
57.25	-1.13688e-12
57.255	-9.09502e-13
57.26	-6.82124e-13
57.265	-9.09502e-13
57.27	-9.09502e-13
57.275	-9.09502e-13
57.28	-6.82124e-13
57.285	-1.36425e-12
57.29	-1.36425e-12
57.295	-1.13688e-12
57.3	-1.36425e-12
57.305	-1.36425e-12
57.31	-6.82124e-13
57.315	-1.819e-12
57.32	-2.04638e-12
57.325	-1.36425e-12
57.33	-1.36425e-12
57.335	-1.36425e-12
57.34	-1.36425e-12
57.345	-1.819e-12
57.35	-2.50112e-12
57.355	-1.59162e-12
57.36	-1.36425e-12
57.365	-9.09502e-13
57.37	-1.36425e-12
57.375	-1.13688e-12
57.38	-2.04638e-12
57.385	-1.36425e-12
57.39	-1.36425e-12
57.395	-1.59162e-12
57.4	-2.04638e-12
57.405	-2.04638e-12
57.41	-1.13688e-12
57.415	-1.36425e-12
57.42	-1.36425e-12
57.425	-9.09502e-13
57.43	-1.36425e-12
57.435	-2.27375e-12
57.44	-1.36425e-12
57.445	-1.819e-12
57.45	-1.36425e-12
57.455	-1.36425e-12
57.46	-1.36425e-12
57.465	-6.82124e-13
57.47	-2.04638e-12
57.475	-1.36425e-12
57.48	-1.59162e-12
57.485	-1.13688e-12
57.49	-6.82124e-13
57.495	-1.13688e-12
57.5	-1.36425e-12
57.505	-6.82124e-13
57.51	-1.819e-12
57.515	-1.36425e-12
57.52	-1.819e-12
57.525	-1.36425e-12
57.53	-1.36425e-12
57.535	-9.09502e-13
57.54	-1.59162e-12
57.545	-1.13688e-12
57.55	-9.09502e-13
57.555	-6.82124e-13
57.56	-1.36425e-12
57.565	-1.36425e-12
57.57	-1.59162e-12
57.575	-9.09502e-13
57.58	-2.27375e-13
57.585	-6.82124e-13
57.59	-1.13688e-12
57.595	-6.82124e-13
57.6	-1.13688e-12
57.605	-9.09502e-13
57.61	-1.36425e-12
57.615	-1.13688e-12
57.62	-9.09502e-13
57.625	-2.04638e-12
57.63	-1.36425e-12
57.635	-1.36425e-12
57.64	-1.36425e-12
57.645	-1.13688e-12
57.65	-9.09502e-13
57.655	-1.59162e-12
57.66	-9.09502e-13
57.665	-2.27375e-13
57.67	-4.54751e-13
57.675	-9.09502e-13
57.68	-1.13688e-12
57.685	-4.54751e-13
57.69	-6.82124e-13
57.695	-1.36425e-12
57.7	-9.09502e-13
57.705	-6.82124e-13
57.71	-9.09502e-13
57.715	-9.09502e-13
57.72	-4.54751e-13
57.725	-2.27375e-13
57.73	-6.82124e-13
57.735	-6.82124e-13
57.74	-6.82124e-13
57.745	-6.82124e-13
57.75	2.27375e-13
57.755	0.0
57.76	0.0
57.765	-2.27375e-13
57.77	-4.54751e-13
57.775	2.27375e-13
57.78	0.0
57.785	0.0
57.79	6.82124e-13
57.795	2.27375e-13
57.8	0.0
57.805	2.27375e-13
57.81	6.82124e-13
57.815	4.54751e-13
57.82	4.54751e-13
57.825	0.0
57.83	2.27375e-13
57.835	4.54751e-13
57.84	2.27375e-13
57.845	-2.27375e-13
57.85	9.09502e-13
57.855	1.13688e-12
57.86	1.13688e-12
57.865	9.09502e-13
57.87	4.54751e-13
57.875	4.54751e-13
57.88	4.54751e-13
57.885	4.54751e-13
57.89	1.13688e-12
57.895	1.819e-12
57.9	1.819e-12
57.905	1.36425e-12
57.91	1.819e-12
57.915	1.819e-12
57.92	1.59162e-12
57.925	1.13688e-12
57.93	1.13688e-12
57.935	2.04638e-12
57.94	2.04638e-12
57.945	2.27375e-12
57.95	1.819e-12
57.955	1.819e-12
57.96	1.59162e-12
57.965	1.819e-12
57.97	2.27375e-12
57.975	1.819e-12
57.98	2.27375e-12
57.985	1.819e-12
57.99	2.27375e-12
57.995	2.27375e-12
58.0	1.819e-12
58.005	2.27375e-12
58.01	2.27375e-12
58.015	1.819e-12
58.02	1.59162e-12
58.025	2.27375e-12
58.03	2.27375e-12
58.035	2.27375e-12
58.04	1.36425e-12
58.045	1.819e-12
58.05	2.27375e-12
58.055	2.27375e-12
58.06	1.819e-12
58.065	1.819e-12
58.07	1.819e-12
58.075	2.7285e-12
58.08	2.04638e-12
58.085	2.27375e-12
58.09	2.04638e-12
58.095	2.04638e-12
58.1	1.819e-12
58.105	2.27375e-12
58.11	1.36425e-12
58.115	2.04638e-12
58.12	1.819e-12
58.125	1.819e-12
58.13	1.819e-12
58.135	2.04638e-12
58.14	2.27375e-12
58.145	2.04638e-12
58.15	2.50112e-12
58.155	3.18325e-12
58.16	2.27375e-12
58.165	1.819e-12
58.17	1.819e-12
58.175	2.04638e-12
58.18	2.50112e-12
58.185	1.819e-12
58.19	1.819e-12
58.195	2.27375e-12
58.2	2.27375e-12
58.205	2.50112e-12
58.21	2.7285e-12
58.215	2.27375e-12
58.22	1.819e-12
58.225	1.36425e-12
58.23	1.819e-12
58.235	1.819e-12
58.24	1.36425e-12
58.245	4.54751e-13
58.25	1.13688e-12
58.255	1.13688e-12
58.26	1.13688e-12
58.265	4.54751e-13
58.27	6.82124e-13
58.275	1.13688e-12
58.28	9.09502e-13
58.285	6.82124e-13
58.29	6.82124e-13
58.295	4.54751e-13
58.3	1.13688e-12
58.305	1.13688e-12
58.31	1.36425e-12
58.315	1.13688e-12
58.32	1.13688e-12
58.325	4.54751e-13
58.33	1.59162e-12
58.335	1.59162e-12
58.34	1.819e-12
58.345	1.819e-12
58.35	1.819e-12
58.355	1.819e-12
58.36	2.27375e-12
58.365	2.27375e-12
58.37	1.13688e-12
58.375	1.36425e-12
58.38	2.04638e-12
58.385	2.04638e-12
58.39	2.04638e-12
58.395	2.04638e-12
58.4	1.36425e-12
58.405	1.819e-12
58.41	1.819e-12
58.415	2.04638e-12
58.42	1.59162e-12
58.425	1.13688e-12
58.43	1.819e-12
58.435	1.13688e-12
58.44	1.13688e-12
58.445	1.59162e-12
58.45	1.819e-12
58.455	4.54751e-13
58.46	4.54751e-13
58.465	6.82124e-13
58.47	0.0
58.475	0.0
58.48	4.54751e-13
58.485	-4.54751e-13
58.49	0.0
58.495	-6.82124e-13
58.5	-2.27375e-13
58.505	-4.54751e-13
58.51	-9.09502e-13
58.515	-6.82124e-13
