pos	X
57.0	1.59162e-12
57.005	1.13688e-12
57.01	4.54751e-13
57.015	9.09502e-13
57.02	4.54751e-13
57.025	4.54751e-13
57.03	1.13688e-12
57.035	9.09502e-13
57.04	9.09502e-13
57.045	6.82124e-13
57.05	4.54751e-13
57.055	4.54751e-13
57.06	1.36425e-12
57.065	6.82124e-13
57.07	4.54751e-13
57.075	1.13688e-12
57.08	2.27375e-13
57.085	2.27375e-13
57.09	4.54751e-13
57.095	6.82124e-13
57.1	1.36425e-12
57.105	1.13688e-12
57.11	0.0
57.115	4.54751e-13
57.12	4.54751e-13
57.125	4.54751e-13
57.13	4.54751e-13
57.135	4.54751e-13
57.14	4.54751e-13
57.145	6.82124e-13
57.15	6.82124e-13
57.155	4.54751e-13
57.16	2.27375e-13
57.165	1.13688e-12
57.17	9.09502e-13
57.175	6.82124e-13
57.18	4.54751e-13
57.185	2.27375e-13
57.19	6.82124e-13
57.195	0.0
57.2	0.0
57.205	4.54751e-13
57.21	9.09502e-13
57.215	1.13688e-12
57.22	2.27375e-13
57.225	4.54751e-13
57.23	2.27375e-13
57.235	4.54751e-13
57.24	2.27375e-13
57.245	4.54751e-13
57.25	2.27375e-13
57.255	4.54751e-13
57.26	6.82124e-13
57.265	4.54751e-13
57.27	2.27375e-13
57.275	4.54751e-13
57.28	2.27375e-13
57.285	2.27375e-13
57.29	2.27375e-13
57.295	0.0
57.3	6.82124e-13
57.305	9.09502e-13
57.31	6.82124e-13
57.315	2.27375e-13
57.32	9.09502e-13
57.325	2.27375e-13
57.33	4.54751e-13
57.335	4.54751e-13
57.34	4.54751e-13
57.345	2.27375e-13
57.35	0.0
57.355	2.27375e-13
57.36	9.09502e-13
57.365	6.82124e-13
57.37	4.54751e-13
57.375	4.54751e-13
57.38	1.13688e-12
57.385	1.13688e-12
57.39	4.54751e-13
57.395	6.82124e-13
57.4	4.54751e-13
57.405	4.54751e-13
57.41	6.82124e-13
57.415	9.09502e-13
57.42	4.54751e-13
57.425	2.27375e-13
57.43	6.82124e-13
57.435	4.54751e-13
57.44	4.54751e-13
57.445	0.0
57.45	9.09502e-13
57.455	4.54751e-13
57.46	0.0
57.465	2.27375e-13
57.47	2.27375e-13
57.475	6.82124e-13
57.48	2.27375e-13
57.485	0.0
57.49	6.82124e-13
57.495	9.09502e-13
57.5	2.27375e-13
57.505	9.09502e-13
57.51	4.54751e-13
57.515	4.54751e-13
57.52	0.0
57.525	0.0
57.53	2.27375e-13
57.535	4.54751e-13
57.54	-6.82124e-13
57.545	1.13688e-12
57.55	6.82124e-13
57.555	6.82124e-13
57.56	6.82124e-13
57.565	6.82124e-13
57.57	2.27375e-13
57.575	0.0
57.58	2.27375e-13
57.585	1.36425e-12
57.59	9.09502e-13
57.595	6.82124e-13
57.6	4.54751e-13
57.605	1.13688e-12
57.61	4.54751e-13
57.615	0.0
57.62	4.54751e-13
57.625	4.54751e-13
57.63	4.54751e-13
57.635	2.27375e-13
57.64	4.54751e-13
57.645	1.13688e-12
57.65	4.54751e-13
57.655	2.27375e-13
57.66	6.82124e-13
57.665	9.09502e-13
57.67	4.54751e-13
57.675	0.0
57.68	4.54751e-13
57.685	6.82124e-13
57.69	4.54751e-13
57.695	4.54751e-13
57.7	6.82124e-13
57.705	2.27375e-13
57.71	6.82124e-13
57.715	1.13688e-12
57.72	1.13688e-12
57.725	4.54751e-13
57.73	1.13688e-12
57.735	1.36425e-12
57.74	4.54751e-13
57.745	4.54751e-13
57.75	1.13688e-12
57.755	6.82124e-13
57.76	0.0
57.765	4.54751e-13
57.77	1.13688e-12
57.775	6.82124e-13
57.78	4.54751e-13
57.785	4.54751e-13
57.79	4.54751e-13
57.795	9.09502e-13
57.8	1.13688e-12
