pos	X
57.0	4.54751e-13
57.005	2.27375e-13
57.01	6.82124e-13
57.015	1.13688e-12
57.02	-4.54751e-13
57.025	4.54751e-13
57.03	4.54751e-13
57.035	1.59162e-12
57.04	9.09502e-13
57.045	2.27375e-13
57.05	9.09502e-13
57.055	1.13688e-12
57.06	2.27375e-13
57.065	6.82124e-13
57.07	9.09502e-13
57.075	4.54751e-13
57.08	4.54751e-13
57.085	2.27375e-13
57.09	4.54751e-13
57.095	1.13688e-12
57.1	2.27375e-13
57.105	1.13688e-12
57.11	1.36425e-12
57.115	9.09502e-13
57.12	-2.27375e-13
57.125	0.0
57.13	1.13688e-12
57.135	1.59162e-12
57.14	9.09502e-13
57.145	2.27375e-13
57.15	4.54751e-13
57.155	9.09502e-13
57.16	1.13688e-12
57.165	4.54751e-13
57.17	6.82124e-13
57.175	6.82124e-13
57.18	4.54751e-13
57.185	1.13688e-12
57.19	4.54751e-13
57.195	4.54751e-13
57.2	4.54751e-13
57.205	4.54751e-13
57.21	9.09502e-13
57.215	6.82124e-13
57.22	6.82124e-13
57.225	2.27375e-13
57.23	2.27375e-13
57.235	6.82124e-13
57.24	4.54751e-13
57.245	1.13688e-12
57.25	9.09502e-13
57.255	1.13688e-12
57.26	9.09502e-13
57.265	1.13688e-12
57.27	4.54751e-13
57.275	0.0
57.28	0.0
57.285	4.54751e-13
57.29	1.13688e-12
57.295	9.09502e-13
57.3	4.54751e-13
57.305	0.0
57.31	2.27375e-13
57.315	2.27375e-13
57.32	4.54751e-13
57.325	6.82124e-13
57.33	6.82124e-13
57.335	1.36425e-12
57.34	6.82124e-13
57.345	1.13688e-12
57.35	4.54751e-13
57.355	6.82124e-13
57.36	1.59162e-12
57.365	4.54751e-13
57.37	4.54751e-13
57.375	4.54751e-13
57.38	1.13688e-12
57.385	6.82124e-13
57.39	1.13688e-12
57.395	4.54751e-13
57.4	9.09502e-13
57.405	4.54751e-13
57.41	2.27375e-13
57.415	4.54751e-13
57.42	4.54751e-13
57.425	4.54751e-13
57.43	4.54751e-13
57.435	9.09502e-13
57.44	4.54751e-13
57.445	0.0
57.45	2.27375e-13
57.455	4.54751e-13
57.46	2.27375e-13
57.465	4.54751e-13
57.47	2.27375e-13
57.475	0.0
57.48	4.54751e-13
57.485	0.0
57.49	2.27375e-13
57.495	4.54751e-13
57.5	9.09502e-13
57.505	6.82124e-13
57.51	6.82124e-13
57.515	6.82124e-13
57.52	6.82124e-13
57.525	0.0
57.53	4.54751e-13
57.535	0.0
57.54	2.27375e-13
57.545	4.54751e-13
57.55	9.09502e-13
57.555	0.0
57.56	0.0
57.565	6.82124e-13
57.57	9.09502e-13
57.575	4.54751e-13
57.58	4.54751e-13
57.585	4.54751e-13
57.59	4.54751e-13
57.595	4.54751e-13
57.6	4.54751e-13
57.605	4.54751e-13
57.61	1.59162e-12
57.615	1.59162e-12
57.62	4.54751e-13
57.625	4.54751e-13
57.63	4.54751e-13
57.635	6.82124e-13
57.64	9.09502e-13
57.645	1.13688e-12
57.65	1.819e-12
57.655	6.82124e-13
57.66	4.54751e-13
57.665	0.0
57.67	0.0
57.675	0.0
57.68	4.54751e-13
57.685	4.54751e-13
57.69	9.09502e-13
57.695	1.13688e-12
57.7	0.0
57.705	-2.27375e-13
57.71	0.0
57.715	1.13688e-12
57.72	9.09502e-13
57.725	2.27375e-13
57.73	0.0
57.735	0.0
57.74	0.0
57.745	0.0
57.75	6.82124e-13
57.755	4.54751e-13
57.76	4.54751e-13
57.765	4.54751e-13
57.77	6.82124e-13
57.775	6.82124e-13
57.78	-2.27375e-13
57.785	2.27375e-13
57.79	9.09502e-13
57.795	6.82124e-13
57.8	6.82124e-13
57.805	9.09502e-13
57.81	1.36425e-12
57.815	6.82124e-13
57.82	4.54751e-13
57.825	6.82124e-13
57.83	1.36425e-12
57.835	1.13688e-12
57.84	1.13688e-12
57.845	6.82124e-13
57.85	4.54751e-13
57.855	6.82124e-13
57.86	4.54751e-13
57.865	1.13688e-12
57.87	4.54751e-13
57.875	6.82124e-13
57.88	1.13688e-12
57.885	4.54751e-13
57.89	9.09502e-13
57.895	2.27375e-13
57.9	0.0
57.905	0.0
57.91	0.0
57.915	4.54751e-13
57.92	2.27375e-13
57.925	0.0
57.93	0.0
57.935	0.0
57.94	2.27375e-13
57.945	6.82124e-13
57.95	4.54751e-13
57.955	0.0
57.96	4.54751e-13
57.965	6.82124e-13
57.97	6.82124e-13
57.975	1.13688e-12
57.98	4.54751e-13
57.985	4.54751e-13
57.99	4.54751e-13
57.995	9.09502e-13
58.0	2.27375e-13
58.005	0.0
58.01	4.54751e-13
58.015	2.27375e-13
58.02	6.82124e-13
58.025	2.27375e-13
58.03	6.82124e-13
58.035	4.54751e-13
58.04	0.0
58.045	6.82124e-13
58.05	4.54751e-13
58.055	4.54751e-13
58.06	2.27375e-13
58.065	6.82124e-13
58.07	6.82124e-13
58.075	-2.27375e-13
58.08	2.27375e-13
58.085	4.54751e-13
58.09	9.09502e-13
58.095	4.54751e-13
58.1	2.27375e-13
58.105	4.54751e-13
58.11	9.09502e-13
58.115	4.54751e-13
58.12	1.36425e-12
58.125	1.59162e-12
58.13	1.36425e-12
58.135	1.13688e-12
58.14	6.82124e-13
58.145	0.0
58.15	4.54751e-13
58.155	4.54751e-13
58.16	1.36425e-12
58.165	1.36425e-12
58.17	6.82124e-13
58.175	4.54751e-13
58.18	6.82124e-13
58.185	1.36425e-12
58.19	4.54751e-13
58.195	9.09502e-13
58.2	1.13688e-12
58.205	1.13688e-12
58.21	1.13688e-12
58.215	4.54751e-13
58.22	9.09502e-13
58.225	6.82124e-13
58.23	4.54751e-13
58.235	6.82124e-13
58.24	6.82124e-13
58.245	1.13688e-12
58.25	1.13688e-12
58.255	1.13688e-12
58.26	1.36425e-12
58.265	1.59162e-12
58.27	1.36425e-12
58.275	6.82124e-13
58.28	0.0
58.285	1.36425e-12
58.29	1.13688e-12
58.295	1.13688e-12
58.3	2.27375e-13
58.305	1.13688e-12
58.31	1.13688e-12
58.315	6.82124e-13
58.32	4.54751e-13
58.325	6.82124e-13
58.33	1.36425e-12
58.335	1.819e-12
58.34	1.59162e-12
58.345	1.13688e-12
58.35	1.13688e-12
58.355	1.13688e-12
58.36	9.09502e-13
58.365	4.54751e-13
58.37	1.13688e-12
58.375	1.819e-12
58.38	1.819e-12
58.385	1.819e-12
58.39	6.82124e-13
58.395	9.09502e-13
58.4	1.13688e-12
58.405	1.819e-12
58.41	1.819e-12
58.415	1.819e-12
58.42	2.04638e-12
58.425	1.59162e-12
58.43	1.819e-12
58.435	1.819e-12
58.44	1.819e-12
58.445	1.59162e-12
58.45	9.09502e-13
58.455	1.13688e-12
58.46	4.54751e-13
58.465	4.54751e-13
58.47	2.27375e-13
58.475	4.54751e-13
58.48	4.54751e-13
58.485	4.54751e-13
58.49	0.0
58.495	0.0
58.5	0.0
58.505	0.0
58.51	-6.82124e-13
58.515	-6.82124e-13
58.52	-6.82124e-13
58.525	-1.36425e-12
58.53	-1.59162e-12
58.535	-2.04638e-12
58.54	-2.27375e-12
58.545	-2.95587e-12
58.55	-3.86538e-12
58.555	-3.63801e-12
58.56	-3.41062e-12
58.565	-3.86538e-12
58.57	-3.63801e-12
58.575	-4.32013e-12
58.58	-4.5475e-12
58.585	-4.5475e-12
58.59	-4.32013e-12
58.595	-4.5475e-12
58.6	-4.5475e-12
58.605	-4.32013e-12
58.61	-3.41062e-12
58.615	-3.41062e-12
58.62	-3.41062e-12
58.625	-3.41062e-12
58.63	-3.18325e-12
58.635	-2.50112e-12
58.64	-2.04638e-12
58.645	-1.13688e-12
58.65	-1.13688e-12
58.655	0.0
58.66	0.0
58.665	4.54751e-13
58.67	1.819e-12
58.675	1.59162e-12
58.68	2.50112e-12
58.685	3.63801e-12
58.69	4.32013e-12
58.695	5.457e-12
58.7	5.68437e-12
58.705	7.27601e-12
58.71	7.95813e-12
58.715	7.50339e-12
58.72	7.73076e-12
58.725	8.86763e-12
58.73	9.32238e-12
58.735	1.04592e-11
58.74	9.77712e-12
58.745	1.06866e-11
58.75	1.15961e-11
58.755	1.20509e-11
58.76	1.18235e-11
58.765	1.22782e-11
58.77	1.31877e-11
58.775	1.2733e-11
58.78	1.29604e-11
58.785	1.36425e-11
58.79	1.38698e-11
58.795	1.47794e-11
58.8	1.4552e-11
58.805	1.47794e-11
58.81	1.4552e-11
58.815	1.54615e-11
58.82	1.52341e-11
58.825	1.54615e-11
58.83	1.47794e-11
58.835	1.56889e-11
58.84	1.50068e-11
58.845	1.47794e-11
58.85	1.52341e-11
58.855	1.43246e-11
58.86	1.36425e-11
58.865	1.25056e-11
58.87	1.22782e-11
58.875	1.18235e-11
58.88	1.04592e-11
58.885	8.64026e-12
58.89	7.04861e-12
58.895	5.00225e-12
58.9	3.41062e-12
58.905	1.13688e-12
58.91	-2.7285e-12
58.915	-4.77487e-12
58.92	-7.50339e-12
58.925	-1.34151e-11
58.93	-1.68258e-11
58.935	-2.16006e-11
58.94	-2.63755e-11
58.945	-3.13778e-11
58.95	-3.70621e-11
58.955	-4.20644e-11
58.96	-4.93403e-11
58.965	-5.59341e-11
58.97	-6.50293e-11
58.975	-7.02589e-11
58.98	-8.0036e-11
58.985	-8.61751e-11
58.99	-9.32237e-11
58.995	-1.02319e-10
59.0	-1.13687e-10
59.005	-1.20964e-10
59.01	-1.30286e-10
59.015	-1.36425e-10
59.02	-1.43701e-10
59.025	-1.51887e-10
59.03	-1.56207e-10
59.035	-1.59162e-10
59.04	-1.61209e-10
59.045	-1.63483e-10
59.05	-1.61436e-10
59.055	-1.5848e-10
59.06	-1.53705e-10
59.065	-1.43246e-10
59.07	-1.3165e-10
59.075	-1.16644e-10
59.08	-9.66343e-11
59.085	-7.25326e-11
59.09	-4.66118e-11
59.095	-1.47794e-11
59.1	1.97816e-11
59.105	5.88902e-11
59.11	9.98175e-11
59.115	1.40973e-10
59.12	1.86902e-10
59.125	2.41473e-10
59.13	2.80581e-10
59.135	3.20144e-10
59.14	3.71303e-10
59.145	4.06319e-10
59.15	4.34285e-10
59.155	4.5725e-10
59.16	4.76124e-10
59.165	4.82945e-10
59.17	4.85674e-10
59.175	4.80217e-10
59.18	4.63617e-10
59.185	4.24281e-10
59.19	3.8631e-10
59.195	3.49702e-10
59.2	2.88312e-10
59.205	2.20781e-10
59.21	1.69167e-10
59.215	9.00404e-11
59.22	1.40972e-11
59.225	-5.86629e-11
59.23	-1.28694e-10
59.235	-1.82809e-10
59.24	-2.4079e-10
59.245	-2.92404e-10
59.25	-3.47883e-10
59.255	-3.82672e-10
59.26	-4.02681e-10
59.265	-4.21325e-10
59.27	-4.26327e-10
59.275	-4.20643e-10
59.28	-4.14277e-10
59.285	-3.91994e-10
59.29	-3.62208e-10
59.295	-3.30148e-10
59.3	-2.94678e-10
59.305	-2.53069e-10
59.31	-2.12368e-10
59.315	-1.61209e-10
59.32	-1.18917e-10
59.325	-7.20779e-11
59.33	-3.79716e-11
59.335	-2.50112e-12
59.34	3.22873e-11
59.345	6.43472e-11
59.35	9.27689e-11
59.355	1.16644e-10
59.36	1.40973e-10
59.365	1.53023e-10
59.37	1.61209e-10
59.375	1.6894e-10
59.38	1.74169e-10
59.385	1.74396e-10
59.39	1.70986e-10
59.395	1.65302e-10
59.4	1.56434e-10
59.405	1.44611e-10
59.41	1.31423e-10
59.415	1.17553e-10
59.42	1.00727e-10
59.425	8.41287e-11
59.43	6.32103e-11
59.435	4.75213e-11
59.44	2.79671e-11
59.445	9.77712e-12
59.45	-6.36649e-12
59.455	-2.31922e-11
59.46	-3.66074e-11
59.465	-4.75213e-11
59.47	-6.13913e-11
59.475	-7.20779e-11
59.48	-7.77622e-11
59.485	-8.39013e-11
59.49	-8.77667e-11
59.495	-9.04952e-11
59.5	-9.18594e-11
59.505	-9.11773e-11
59.51	-8.75393e-11
59.515	-8.43561e-11
59.52	-8.0036e-11
59.525	-7.48064e-11
59.53	-6.63936e-11
59.535	-5.9345e-11
59.54	-5.13867e-11
59.545	-4.38833e-11
59.55	-3.50158e-11
59.555	-2.70576e-11
59.56	-1.97816e-11
59.565	-1.25056e-11
59.57	-5.91174e-12
59.575	4.54751e-13
59.58	5.457e-12
59.585	1.00045e-11
59.59	1.43246e-11
59.595	1.79626e-11
59.6	2.11459e-11
59.605	2.20554e-11
59.61	2.31922e-11
59.615	2.3647e-11
59.62	2.31922e-11
59.625	2.41017e-11
59.63	2.22827e-11
59.635	2.11459e-11
59.64	1.93269e-11
59.645	1.79626e-11
59.65	1.59163e-11
59.655	1.36425e-11
59.66	1.22782e-11
59.665	9.77712e-12
59.67	8.18551e-12
59.675	6.36649e-12
59.68	4.32013e-12
59.685	2.27375e-12
59.69	4.54751e-13
59.695	-1.36425e-12
59.7	-2.95587e-12
59.705	-3.41062e-12
59.71	-4.5475e-12
59.715	-6.13912e-12
59.72	-5.91174e-12
59.725	-6.36649e-12
59.73	-6.59386e-12
59.735	-6.36649e-12
59.74	-5.91174e-12
59.745	-5.457e-12
59.75	-4.77487e-12
59.755	-4.32013e-12
59.76	-3.86538e-12
59.765	-2.95587e-12
59.77	-2.7285e-12
59.775	-1.819e-12
59.78	-2.50112e-12
59.785	-1.819e-12
59.79	-1.819e-12
59.795	-1.819e-12
59.8	-1.59162e-12
59.805	-1.59162e-12
59.81	-1.36425e-12
59.815	-1.13688e-12
59.82	-1.13688e-12
59.825	-9.09502e-13
59.83	-6.82124e-13
59.835	-6.82124e-13
59.84	-9.09502e-13
59.845	-1.13688e-12
59.85	-2.27375e-13
59.855	2.27375e-13
59.86	4.54751e-13
59.865	6.82124e-13
59.87	6.82124e-13
59.875	1.13688e-12
59.88	1.13688e-12
59.885	1.36425e-12
59.89	1.819e-12
59.895	2.50112e-12
59.9	2.95587e-12
59.905	2.95587e-12
59.91	3.86538e-12
59.915	4.09275e-12
59.92	3.63801e-12
59.925	3.63801e-12
59.93	4.32013e-12
59.935	4.32013e-12
59.94	4.77487e-12
59.945	4.77487e-12
59.95	4.77487e-12
59.955	5.457e-12
59.96	5.457e-12
59.965	5.457e-12
59.97	5.457e-12
59.975	5.00225e-12
59.98	5.68437e-12
59.985	5.22962e-12
59.99	5.91174e-12
59.995	5.68437e-12
60.0	5.68437e-12
60.005	5.457e-12
60.01	6.13912e-12
60.015	5.457e-12
60.02	6.13912e-12
60.025	5.91174e-12
60.03	7.04861e-12
60.035	7.27601e-12
60.04	6.59386e-12
60.045	6.36649e-12
60.05	6.36649e-12
60.055	6.36649e-12
60.06	7.27601e-12
60.065	6.59386e-12
60.07	6.82124e-12
60.075	6.82124e-12
60.08	6.82124e-12
60.085	7.27601e-12
60.09	7.04861e-12
60.095	7.27601e-12
60.1	7.73076e-12
60.105	7.95813e-12
60.11	7.73076e-12
60.115	7.27601e-12
60.12	6.82124e-12
60.125	7.04861e-12
60.13	6.82124e-12
60.135	6.36649e-12
60.14	6.13912e-12
60.145	5.457e-12
60.15	6.13912e-12
60.155	5.00225e-12
60.16	3.63801e-12
60.165	3.63801e-12
60.17	3.18325e-12
60.175	2.95587e-12
60.18	2.27375e-12
60.185	1.819e-12
60.19	1.59162e-12
60.195	9.09502e-13
60.2	6.82124e-13
60.205	6.82124e-13
60.21	2.27375e-13
60.215	0.0
60.22	0.0
60.225	0.0
60.23	4.54751e-13
60.235	1.13688e-12
60.24	4.54751e-13
60.245	1.13688e-12
60.25	1.36425e-12
60.255	1.13688e-12
60.26	1.36425e-12
60.265	1.819e-12
60.27	2.95587e-12
60.275	3.63801e-12
60.28	3.63801e-12
60.285	3.63801e-12
60.29	4.32013e-12
60.295	4.32013e-12
60.3	4.77487e-12
60.305	5.22962e-12
60.31	4.77487e-12
60.315	4.5475e-12
60.32	4.77487e-12
60.325	5.22962e-12
60.33	4.77487e-12
60.335	4.32013e-12
60.34	4.5475e-12
60.345	3.86538e-12
60.35	3.41062e-12
60.355	2.95587e-12
60.36	2.27375e-12
60.365	1.819e-12
60.37	2.27375e-13
60.375	4.54751e-13
60.38	4.54751e-13
60.385	0.0
60.39	-1.13688e-12
60.395	-2.27375e-12
60.4	-3.18325e-12
60.405	-3.86538e-12
60.41	-4.32013e-12
60.415	-5.00225e-12
60.42	-5.68437e-12
60.425	-7.04861e-12
60.43	-8.64026e-12
60.435	-8.86763e-12
60.44	-1.04592e-11
60.445	-1.15961e-11
60.45	-1.25056e-11
60.455	-1.31877e-11
60.46	-1.4552e-11
60.465	-1.65984e-11
60.47	-1.72805e-11
60.475	-1.86448e-11
60.48	-1.93269e-11
60.485	-2.02364e-11
60.49	-2.11459e-11
60.495	-2.22827e-11
60.5	-2.31922e-11
60.505	-2.38743e-11
60.51	-2.38743e-11
60.515	-2.56933e-11
60.52	-2.59207e-11
60.525	-2.43291e-11
60.53	-2.43291e-11
60.535	-2.43291e-11
60.54	-2.25101e-11
60.545	-2.13732e-11
60.55	-1.95542e-11
60.555	-1.70531e-11
60.56	-1.43246e-11
60.565	-1.20509e-11
60.57	-8.18551e-12
60.575	-3.86538e-12
60.58	4.54751e-13
60.585	5.22962e-12
60.59	1.00045e-11
60.595	1.52341e-11
60.6	2.09185e-11
60.605	2.68302e-11
60.61	3.25147e-11
60.615	3.86537e-11
60.62	4.47928e-11
60.625	5.13867e-11
60.63	5.61615e-11
60.635	6.1164e-11
60.64	6.50293e-11
60.645	6.9122e-11
60.65	7.11684e-11
60.655	7.29874e-11
60.66	7.48064e-11
60.665	7.48064e-11
60.67	7.48064e-11
60.675	7.32148e-11
60.68	6.9122e-11
60.685	6.34377e-11
60.69	5.86629e-11
60.695	5.20688e-11
60.7	4.43381e-11
60.705	3.47884e-11
60.71	2.47838e-11
60.715	1.43246e-11
60.72	4.77487e-12
60.725	-6.82124e-12
60.73	-1.75079e-11
60.735	-2.7285e-11
60.74	-3.93359e-11
60.745	-4.86582e-11
60.75	-5.68436e-11
60.755	-6.45746e-11
60.76	-6.93494e-11
60.765	-7.52611e-11
60.77	-7.75349e-11
60.775	-8.02634e-11
60.78	-7.98086e-11
60.785	-7.79896e-11
60.79	-7.36695e-11
60.795	-6.93494e-11
60.8	-6.32103e-11
60.805	-5.61615e-11
60.81	-4.75213e-11
60.815	-3.79716e-11
60.82	-2.88766e-11
60.825	-1.95542e-11
60.83	-8.64026e-12
60.835	2.27375e-13
60.84	9.32238e-12
60.845	1.6371e-11
60.85	2.52386e-11
60.855	3.11504e-11
60.86	3.61526e-11
60.865	4.04727e-11
60.87	4.22917e-11
60.875	4.47928e-11
60.88	4.47928e-11
60.885	4.3656e-11
60.89	4.25191e-11
60.895	3.95632e-11
60.9	3.56979e-11
60.905	3.16052e-11
60.91	2.75123e-11
60.915	2.38743e-11
60.92	1.86448e-11
60.925	1.36425e-11
60.93	8.64026e-12
60.935	3.63801e-12
60.94	-2.27375e-13
60.945	-5.00225e-12
60.95	-7.73076e-12
60.955	-1.06866e-11
60.96	-1.36425e-11
60.965	-1.56889e-11
60.97	-1.75079e-11
60.975	-1.97816e-11
60.98	-2.04637e-11
60.985	-2.1828e-11
60.99	-2.16006e-11
60.995	-2.16006e-11
61.0	-2.11459e-11
61.005	-2.0009e-11
61.01	-2.09185e-11
61.015	-1.88721e-11
61.02	-1.75079e-11
61.025	-1.68258e-11
61.03	-1.50068e-11
61.035	-1.38698e-11
61.04	-1.18235e-11
61.045	-1.02319e-11
61.05	-8.86763e-12
61.055	-7.73076e-12
61.06	-5.91174e-12
61.065	-5.00225e-12
61.07	-3.86538e-12
61.075	-2.27375e-12
61.08	-1.36425e-12
61.085	0.0
61.09	4.54751e-13
61.095	1.819e-12
61.1	3.18325e-12
61.105	2.7285e-12
61.11	2.7285e-12
61.115	2.50112e-12
61.12	2.95587e-12
61.125	2.27375e-12
61.13	3.63801e-12
61.135	3.63801e-12
61.14	2.7285e-12
61.145	2.50112e-12
61.15	2.95587e-12
61.155	2.95587e-12
61.16	1.36425e-12
61.165	1.59162e-12
61.17	4.54751e-13
61.175	-4.54751e-13
61.18	-6.82124e-13
61.185	0.0
61.19	-1.59162e-12
61.195	-2.04638e-12
61.2	-2.50112e-12
61.205	-2.50112e-12
61.21	-2.95587e-12
61.215	-3.63801e-12
61.22	-3.18325e-12
61.225	-3.86538e-12
61.23	-4.32013e-12
61.235	-3.18325e-12
61.24	-3.41062e-12
61.245	-2.95587e-12
61.25	-2.50112e-12
61.255	-2.95587e-12
