pos	X
57.0	0.0
57.005	9.09502e-13
57.01	6.82124e-13
57.015	4.54751e-13
57.02	6.82124e-13
57.025	1.13688e-12
57.03	2.27375e-13
57.035	4.54751e-13
57.04	1.13688e-12
57.045	6.82124e-13
57.05	6.82124e-13
57.055	1.13688e-12
57.06	4.54751e-13
57.065	2.27375e-13
57.07	6.82124e-13
57.075	4.54751e-13
57.08	0.0
57.085	1.13688e-12
57.09	4.54751e-13
57.095	4.54751e-13
57.1	2.27375e-13
57.105	4.54751e-13
57.11	2.27375e-13
57.115	4.54751e-13
57.12	9.09502e-13
57.125	4.54751e-13
57.13	6.82124e-13
57.135	4.54751e-13
57.14	4.54751e-13
57.145	6.82124e-13
57.15	1.13688e-12
57.155	9.09502e-13
57.16	2.27375e-13
57.165	4.54751e-13
57.17	1.13688e-12
57.175	4.54751e-13
57.18	1.13688e-12
57.185	6.82124e-13
57.19	4.54751e-13
57.195	6.82124e-13
57.2	4.54751e-13
57.205	9.09502e-13
57.21	9.09502e-13
57.215	6.82124e-13
57.22	1.13688e-12
57.225	9.09502e-13
57.23	6.82124e-13
57.235	9.09502e-13
57.24	1.13688e-12
57.245	1.13688e-12
57.25	0.0
57.255	0.0
57.26	4.54751e-13
57.265	4.54751e-13
57.27	9.09502e-13
57.275	2.27375e-13
57.28	6.82124e-13
57.285	9.09502e-13
57.29	6.82124e-13
57.295	6.82124e-13
57.3	4.54751e-13
57.305	6.82124e-13
57.31	1.13688e-12
57.315	9.09502e-13
57.32	4.54751e-13
57.325	0.0
57.33	4.54751e-13
57.335	6.82124e-13
57.34	4.54751e-13
57.345	4.54751e-13
57.35	9.09502e-13
57.355	4.54751e-13
57.36	1.13688e-12
57.365	1.59162e-12
57.37	1.13688e-12
57.375	1.13688e-12
57.38	9.09502e-13
57.385	4.54751e-13
57.39	9.09502e-13
57.395	9.09502e-13
57.4	9.09502e-13
57.405	6.82124e-13
57.41	6.82124e-13
57.415	6.82124e-13
57.42	2.27375e-13
57.425	2.27375e-13
57.43	2.27375e-13
57.435	6.82124e-13
57.44	4.54751e-13
57.445	4.54751e-13
57.45	2.27375e-13
57.455	9.09502e-13
57.46	1.59162e-12
57.465	9.09502e-13
57.47	0.0
57.475	4.54751e-13
57.48	4.54751e-13
57.485	0.0
57.49	9.09502e-13
57.495	6.82124e-13
57.5	6.82124e-13
57.505	2.27375e-13
57.51	4.54751e-13
57.515	9.09502e-13
57.52	-2.27375e-13
57.525	9.09502e-13
57.53	9.09502e-13
57.535	4.54751e-13
57.54	4.54751e-13
57.545	0.0
57.55	4.54751e-13
57.555	4.54751e-13
57.56	9.09502e-13
57.565	1.13688e-12
57.57	4.54751e-13
57.575	4.54751e-13
57.58	6.82124e-13
57.585	1.13688e-12
57.59	1.36425e-12
57.595	1.13688e-12
57.6	4.54751e-13
57.605	4.54751e-13
57.61	4.54751e-13
57.615	6.82124e-13
57.62	6.82124e-13
57.625	1.13688e-12
57.63	6.82124e-13
57.635	4.54751e-13
57.64	9.09502e-13
57.645	1.13688e-12
57.65	2.27375e-13
57.655	4.54751e-13
57.66	4.54751e-13
57.665	-6.82124e-13
57.67	0.0
57.675	4.54751e-13
57.68	9.09502e-13
57.685	6.82124e-13
57.69	6.82124e-13
57.695	4.54751e-13
57.7	2.27375e-13
57.705	0.0
57.71	0.0
57.715	1.13688e-12
57.72	4.54751e-13
57.725	1.13688e-12
57.73	4.54751e-13
57.735	4.54751e-13
57.74	-4.54751e-13
57.745	9.09502e-13
57.75	1.59162e-12
57.755	4.54751e-13
57.76	0.0
57.765	6.82124e-13
57.77	4.54751e-13
57.775	-2.27375e-13
57.78	4.54751e-13
57.785	6.82124e-13
57.79	2.27375e-13
57.795	4.54751e-13
57.8	1.13688e-12
57.805	4.54751e-13
57.81	1.13688e-12
57.815	4.54751e-13
57.82	1.13688e-12
57.825	6.82124e-13
57.83	1.13688e-12
57.835	4.54751e-13
57.84	0.0
57.845	4.54751e-13
57.85	4.54751e-13
57.855	4.54751e-13
57.86	0.0
57.865	4.54751e-13
57.87	2.27375e-13
57.875	4.54751e-13
57.88	6.82124e-13
57.885	6.82124e-13
57.89	-2.27375e-13
57.895	-2.27375e-13
57.9	0.0
57.905	2.27375e-13
57.91	2.27375e-13
57.915	2.27375e-13
57.92	2.27375e-13
57.925	2.27375e-13
57.93	2.27375e-13
57.935	-2.27375e-13
57.94	2.27375e-13
57.945	2.27375e-13
57.95	-2.27375e-13
57.955	9.09502e-13
57.96	4.54751e-13
57.965	4.54751e-13
57.97	1.13688e-12
57.975	9.09502e-13
57.98	2.27375e-13
57.985	-4.54751e-13
57.99	6.82124e-13
57.995	4.54751e-13
58.0	2.27375e-13
58.005	2.27375e-13
58.01	9.09502e-13
58.015	0.0
58.02	4.54751e-13
58.025	9.09502e-13
58.03	4.54751e-13
58.035	4.54751e-13
58.04	1.36425e-12
58.045	4.54751e-13
58.05	6.82124e-13
58.055	1.13688e-12
58.06	1.13688e-12
58.065	1.36425e-12
58.07	1.13688e-12
58.075	1.13688e-12
58.08	9.09502e-13
58.085	4.54751e-13
58.09	-4.54751e-13
58.095	4.54751e-13
58.1	4.54751e-13
58.105	2.27375e-13
58.11	4.54751e-13
58.115	6.82124e-13
58.12	1.13688e-12
58.125	4.54751e-13
58.13	6.82124e-13
58.135	1.13688e-12
58.14	6.82124e-13
58.145	4.54751e-13
58.15	1.13688e-12
58.155	4.54751e-13
58.16	0.0
58.165	4.54751e-13
58.17	0.0
58.175	6.82124e-13
58.18	1.13688e-12
58.185	4.54751e-13
58.19	4.54751e-13
58.195	2.27375e-13
58.2	6.82124e-13
58.205	9.09502e-13
58.21	1.13688e-12
58.215	6.82124e-13
58.22	4.54751e-13
58.225	4.54751e-13
58.23	4.54751e-13
58.235	6.82124e-13
58.24	4.54751e-13
58.245	1.13688e-12
58.25	1.13688e-12
58.255	6.82124e-13
58.26	9.09502e-13
58.265	9.09502e-13
58.27	4.54751e-13
58.275	2.27375e-13
58.28	4.54751e-13
58.285	4.54751e-13
58.29	0.0
58.295	1.13688e-12
58.3	9.09502e-13
58.305	1.13688e-12
58.31	1.36425e-12
58.315	9.09502e-13
58.32	1.819e-12
58.325	6.82124e-13
58.33	9.09502e-13
58.335	1.59162e-12
58.34	4.54751e-13
58.345	6.82124e-13
58.35	4.54751e-13
58.355	1.13688e-12
58.36	1.819e-12
58.365	6.82124e-13
58.37	1.13688e-12
58.375	1.13688e-12
58.38	1.13688e-12
58.385	1.36425e-12
58.39	9.09502e-13
58.395	1.13688e-12
58.4	1.36425e-12
58.405	1.13688e-12
58.41	6.82124e-13
58.415	4.54751e-13
58.42	4.54751e-13
58.425	1.13688e-12
58.43	4.54751e-13
58.435	1.36425e-12
58.44	4.54751e-13
58.445	1.13688e-12
58.45	1.36425e-12
58.455	1.36425e-12
58.46	1.13688e-12
58.465	9.09502e-13
58.47	6.82124e-13
58.475	1.59162e-12
58.48	1.819e-12
58.485	4.54751e-13
58.49	1.59162e-12
58.495	1.13688e-12
58.5	9.09502e-13
58.505	1.13688e-12
58.51	4.54751e-13
58.515	4.54751e-13
58.52	9.09502e-13
58.525	4.54751e-13
58.53	4.54751e-13
58.535	0.0
58.54	2.27375e-13
58.545	0.0
58.55	-6.82124e-13
58.555	-6.82124e-13
58.56	-2.27375e-13
58.565	-1.13688e-12
58.57	-9.09502e-13
58.575	0.0
58.58	-1.36425e-12
58.585	-1.36425e-12
58.59	-2.04638e-12
58.595	-1.36425e-12
58.6	-1.36425e-12
58.605	-1.13688e-12
58.61	-1.13688e-12
58.615	-1.36425e-12
58.62	-1.36425e-12
58.625	-9.09502e-13
58.63	-1.36425e-12
58.635	-4.54751e-13
58.64	-9.09502e-13
58.645	2.27375e-13
58.65	1.36425e-12
58.655	1.36425e-12
58.66	1.819e-12
58.665	2.7285e-12
58.67	3.86538e-12
58.675	5.00225e-12
58.68	5.91174e-12
58.685	7.27601e-12
58.69	8.41288e-12
58.695	8.64026e-12
58.7	9.32238e-12
58.705	1.0914e-11
58.71	1.22782e-11
58.715	1.22782e-11
58.72	1.29604e-11
58.725	1.43246e-11
58.73	1.47794e-11
58.735	1.52341e-11
58.74	1.61436e-11
58.745	1.6371e-11
58.75	1.77353e-11
58.755	1.75079e-11
58.76	1.88721e-11
58.765	1.88721e-11
58.77	2.02364e-11
58.775	2.0009e-11
58.78	2.04637e-11
58.785	2.13732e-11
58.79	2.25101e-11
58.795	2.27375e-11
58.8	2.29649e-11
58.805	2.3647e-11
58.81	2.47838e-11
58.815	2.56933e-11
58.82	2.61481e-11
58.825	2.66028e-11
58.83	2.79671e-11
58.835	2.68302e-11
58.84	2.63755e-11
58.845	2.61481e-11
58.85	2.45565e-11
58.855	2.34196e-11
58.86	2.22827e-11
58.865	2.11459e-11
58.87	1.819e-11
58.875	1.54615e-11
58.88	1.11414e-11
58.885	7.27601e-12
58.89	2.50112e-12
58.895	-2.04638e-12
58.9	-8.64026e-12
58.905	-1.47794e-11
58.91	-2.09185e-11
58.915	-3.00135e-11
58.92	-3.84264e-11
58.925	-4.88856e-11
58.93	-5.82081e-11
58.935	-7.00315e-11
58.94	-8.1855e-11
58.945	-9.18594e-11
58.95	-1.10731e-10
58.955	-1.25511e-10
58.96	-1.40063e-10
58.965	-1.56661e-10
58.97	-1.71668e-10
58.975	-1.90767e-10
58.98	-2.06229e-10
58.985	-2.25556e-10
58.99	-2.44656e-10
58.995	-2.61709e-10
59.0	-2.72623e-10
59.005	-2.88312e-10
59.01	-3.04228e-10
59.015	-3.14005e-10
59.02	-3.28784e-10
59.025	-3.34014e-10
59.03	-3.35833e-10
59.035	-3.3697e-10
59.04	-3.3174e-10
59.045	-3.21508e-10
59.05	-3.01499e-10
59.055	-2.824e-10
59.06	-2.48976e-10
59.065	-2.09412e-10
59.07	-1.65529e-10
59.075	-1.1255e-10
59.08	-5.25235e-11
