pos	X
55.0	2.27375e-12
55.005	2.27375e-12
55.01	1.59162e-12
55.015	1.13688e-12
55.02	1.36425e-12
55.025	1.819e-12
55.03	1.819e-12
55.035	2.04638e-12
55.04	2.50112e-12
55.045	2.27375e-12
55.05	1.819e-12
55.055	1.13688e-12
55.06	1.819e-12
55.065	1.819e-12
55.07	1.13688e-12
55.075	2.04638e-12
55.08	1.819e-12
55.085	1.819e-12
55.09	1.13688e-12
55.095	4.54751e-13
55.1	1.13688e-12
55.105	9.09502e-13
55.11	2.27375e-13
55.115	1.13688e-12
55.12	-4.54751e-13
55.125	4.54751e-13
55.13	0.0
55.135	6.82124e-13
55.14	1.13688e-12
55.145	1.13688e-12
55.15	1.819e-12
55.155	1.36425e-12
55.16	1.819e-12
55.165	1.59162e-12
55.17	1.819e-12
55.175	1.36425e-12
55.18	4.54751e-13
55.185	4.54751e-13
55.19	6.82124e-13
55.195	4.54751e-13
55.2	4.54751e-13
55.205	1.13688e-12
55.21	0.0
55.215	9.09502e-13
55.22	4.54751e-13
55.225	-6.82124e-13
55.23	2.27375e-13
55.235	1.13688e-12
55.24	1.36425e-12
55.245	1.36425e-12
55.25	1.13688e-12
55.255	4.54751e-13
55.26	9.09502e-13
55.265	4.54751e-13
55.27	4.54751e-13
55.275	4.54751e-13
55.28	1.13688e-12
55.285	2.27375e-13
55.29	9.09502e-13
55.295	0.0
55.3	-4.54751e-13
55.305	-4.54751e-13
55.31	4.54751e-13
55.315	1.13688e-12
55.32	4.54751e-13
55.325	4.54751e-13
55.33	1.13688e-12
55.335	4.54751e-13
55.34	0.0
55.345	-2.27375e-13
55.35	4.54751e-13
55.355	2.27375e-13
55.36	1.13688e-12
55.365	0.0
55.37	2.27375e-13
55.375	1.13688e-12
55.38	0.0
55.385	4.54751e-13
55.39	4.54751e-13
55.395	-4.54751e-13
55.4	4.54751e-13
55.405	-2.27375e-13
55.41	4.54751e-13
55.415	1.819e-12
55.42	9.09502e-13
55.425	1.819e-12
55.43	6.82124e-13
55.435	9.09502e-13
55.44	1.13688e-12
55.445	1.13688e-12
55.45	-6.82124e-13
55.455	0.0
55.46	4.54751e-13
55.465	6.82124e-13
55.47	4.54751e-13
55.475	4.54751e-13
55.48	6.82124e-13
55.485	1.13688e-12
55.49	1.13688e-12
55.495	4.54751e-13
55.5	1.13688e-12
55.505	1.36425e-12
55.51	4.54751e-13
55.515	1.13688e-12
55.52	1.59162e-12
55.525	0.0
55.53	6.82124e-13
55.535	4.54751e-13
55.54	6.82124e-13
55.545	4.54751e-13
55.55	6.82124e-13
55.555	2.27375e-13
55.56	6.82124e-13
55.565	1.13688e-12
55.57	4.54751e-13
55.575	4.54751e-13
55.58	-2.27375e-13
55.585	0.0
55.59	2.27375e-13
55.595	4.54751e-13
55.6	1.13688e-12
55.605	4.54751e-13
55.61	0.0
55.615	-6.82124e-13
55.62	2.27375e-13
55.625	0.0
55.63	-1.819e-12
55.635	4.54751e-13
55.64	-1.36425e-12
55.645	-9.09502e-13
55.65	-1.36425e-12
55.655	-1.13688e-12
55.66	-1.36425e-12
55.665	-2.04638e-12
55.67	-2.04638e-12
55.675	-1.13688e-12
55.68	-1.13688e-12
55.685	-2.27375e-12
55.69	-2.50112e-12
55.695	-2.27375e-12
55.7	-3.41062e-12
55.705	-2.27375e-12
55.71	-2.95587e-12
55.715	-2.50112e-12
55.72	-2.04638e-12
55.725	-2.7285e-12
55.73	-2.50112e-12
55.735	-3.63801e-12
55.74	-3.63801e-12
55.745	-3.63801e-12
55.75	-4.5475e-12
55.755	-4.5475e-12
55.76	-4.5475e-12
55.765	-5.457e-12
55.77	-4.32013e-12
55.775	-4.5475e-12
55.78	-5.00225e-12
55.785	-5.68437e-12
55.79	-5.68437e-12
55.795	-6.59386e-12
55.8	-7.27601e-12
55.805	-7.04861e-12
55.81	-6.59386e-12
55.815	-7.27601e-12
55.82	-7.27601e-12
55.825	-6.82124e-12
55.83	-7.73076e-12
55.835	-8.18551e-12
55.84	-8.18551e-12
55.845	-8.64026e-12
55.85	-8.41288e-12
55.855	-8.41288e-12
55.86	-8.86763e-12
55.865	-8.64026e-12
55.87	-8.41288e-12
55.875	-9.32238e-12
55.88	-9.095e-12
55.885	-9.54975e-12
55.89	-8.86763e-12
55.895	-8.86763e-12
55.9	-9.54975e-12
55.905	-9.32238e-12
55.91	-1.02319e-11
55.915	-1.02319e-11
55.92	-1.06866e-11
55.925	-1.02319e-11
55.93	-1.06866e-11
55.935	-1.04592e-11
55.94	-1.11414e-11
55.945	-1.11414e-11
55.95	-1.15961e-11
55.955	-1.25056e-11
55.96	-1.25056e-11
55.965	-1.34151e-11
55.97	-1.34151e-11
55.975	-1.36425e-11
55.98	-1.52341e-11
55.985	-1.52341e-11
55.99	-1.56889e-11
55.995	-1.68258e-11
56.0	-1.75079e-11
56.005	-1.88721e-11
56.01	-2.0009e-11
56.015	-2.06911e-11
56.02	-2.13732e-11
56.025	-2.25101e-11
