pos	X
58.0	-2.50112e-12
58.005	-3.18325e-12
58.01	-2.95587e-12
58.015	-2.95587e-12
58.02	-3.63801e-12
58.025	-3.86538e-12
58.03	-3.18325e-12
58.035	-3.18325e-12
58.04	-4.09275e-12
58.045	-3.86538e-12
58.05	-3.63801e-12
58.055	-4.09275e-12
58.06	-3.86538e-12
58.065	-3.86538e-12
58.07	-3.86538e-12
58.075	-4.09275e-12
58.08	-4.32013e-12
58.085	-4.09275e-12
58.09	-4.5475e-12
58.095	-4.5475e-12
58.1	-4.5475e-12
58.105	-4.5475e-12
58.11	-5.00225e-12
58.115	-5.00225e-12
58.12	-5.22962e-12
58.125	-5.22962e-12
58.13	-5.68437e-12
58.135	-5.91174e-12
58.14	-5.68437e-12
58.145	-5.68437e-12
58.15	-6.13912e-12
58.155	-6.13912e-12
58.16	-5.91174e-12
58.165	-6.59386e-12
58.17	-6.82124e-12
58.175	-6.59386e-12
58.18	-7.95813e-12
58.185	-8.18551e-12
58.19	-7.73076e-12
58.195	-8.64026e-12
58.2	-9.095e-12
58.205	-9.54975e-12
58.21	-1.00045e-11
58.215	-1.11414e-11
58.22	-1.20509e-11
58.225	-1.2733e-11
58.23	-1.38698e-11
58.235	-1.52341e-11
58.24	-1.52341e-11
58.245	-1.68258e-11
58.25	-1.86448e-11
58.255	-1.88721e-11
58.26	-2.02364e-11
58.265	-2.27375e-11
58.27	-2.43291e-11
58.275	-2.63755e-11
58.28	-2.81944e-11
58.285	-3.04683e-11
58.29	-3.25147e-11
58.295	-3.47884e-11
58.3	-3.75169e-11
58.305	-3.91085e-11
58.31	-4.22917e-11
58.315	-4.5475e-11
58.32	-4.84308e-11
58.325	-5.25235e-11
58.33	-5.61615e-11
58.335	-5.9345e-11
58.34	-6.36651e-11
58.345	-6.77578e-11
58.35	-7.25326e-11
58.355	-7.8217e-11
58.36	-8.32192e-11
58.365	-8.82214e-11
58.37	-9.39058e-11
58.375	-1.00045e-10
58.38	-1.05047e-10
58.385	-1.13687e-10
58.39	-1.20509e-10
58.395	-1.29377e-10
58.4	-1.37107e-10
58.405	-1.4552e-10
58.41	-1.55979e-10
58.415	-1.65984e-10
58.42	-1.75306e-10
58.425	-1.8531e-10
58.43	-1.95542e-10
58.435	-2.08048e-10
58.44	-2.20099e-10
58.445	-2.32377e-10
58.45	-2.45565e-10
58.455	-2.62391e-10
58.46	-2.77398e-10
58.465	-2.91495e-10
58.47	-3.07638e-10
58.475	-3.23555e-10
58.48	-3.41517e-10
58.485	-3.61526e-10
58.49	-3.84718e-10
58.495	-4.01998e-10
58.5	-4.24508e-10
58.505	-4.50202e-10
58.51	-4.74532e-10
58.515	-5.02954e-10
58.52	-5.33877e-10
58.525	-5.62071e-10
58.53	-5.94358e-10
58.535	-6.23462e-10
58.54	-6.50292e-10
58.545	-6.73484e-10
58.55	-6.92129e-10
58.555	-7.10092e-10
