pos	X
58.0	2.04638e-12
58.005	2.04638e-12
58.01	2.27375e-12
58.015	1.819e-12
58.02	2.04638e-12
58.025	2.04638e-12
58.03	1.819e-12
58.035	1.819e-12
58.04	2.27375e-12
58.045	2.04638e-12
58.05	1.59162e-12
58.055	1.59162e-12
58.06	2.04638e-12
58.065	1.819e-12
58.07	1.59162e-12
58.075	2.7285e-12
58.08	2.27375e-12
58.085	1.819e-12
58.09	2.27375e-12
58.095	1.13688e-12
58.1	2.27375e-12
58.105	1.819e-12
58.11	2.04638e-12
58.115	2.95587e-12
58.12	2.50112e-12
58.125	2.50112e-12
58.13	2.95587e-12
58.135	2.7285e-12
58.14	4.09275e-12
58.145	3.86538e-12
58.15	3.18325e-12
58.155	3.63801e-12
58.16	4.77487e-12
58.165	5.00225e-12
58.17	5.68437e-12
58.175	6.13912e-12
58.18	5.457e-12
58.185	6.82124e-12
58.19	7.04861e-12
58.195	7.27601e-12
58.2	7.50339e-12
58.205	7.95813e-12
58.21	8.64026e-12
58.215	9.77712e-12
58.22	9.77712e-12
58.225	1.04592e-11
58.23	1.13687e-11
58.235	1.18235e-11
58.24	1.2733e-11
58.245	1.34151e-11
58.25	1.36425e-11
58.255	1.47794e-11
58.26	1.59163e-11
58.265	1.61436e-11
58.27	1.75079e-11
58.275	1.93269e-11
58.28	1.88721e-11
58.285	1.95542e-11
58.29	2.06911e-11
58.295	2.16006e-11
58.3	2.27375e-11
58.305	2.41017e-11
58.31	2.50112e-11
58.315	2.66028e-11
58.32	2.77397e-11
58.325	2.79671e-11
58.33	2.84218e-11
58.335	3.04683e-11
58.34	3.13778e-11
58.345	3.16052e-11
58.35	3.22873e-11
58.355	3.22873e-11
58.36	3.29694e-11
58.365	3.31968e-11
58.37	3.25147e-11
58.375	3.0923e-11
58.38	3.06957e-11
58.385	2.95588e-11
58.39	2.84218e-11
58.395	2.52386e-11
58.4	2.34196e-11
58.405	1.97816e-11
58.41	1.68258e-11
58.415	1.20509e-11
58.42	6.59386e-12
58.425	4.54751e-13
58.43	-5.00225e-12
58.435	-1.4552e-11
58.44	-2.45565e-11
58.445	-3.36515e-11
58.45	-4.43381e-11
58.455	-5.75258e-11
58.46	-7.13958e-11
58.465	-8.68572e-11
58.47	-1.03683e-10
58.475	-1.23237e-10
58.48	-1.43701e-10
58.485	-1.66666e-10
58.49	-1.91222e-10
58.495	-2.1737e-10
58.5	-2.47384e-10
58.505	-2.79899e-10
58.51	-3.16506e-10
58.515	-3.53568e-10
58.52	-3.92449e-10
58.525	-4.32467e-10
58.53	-4.75442e-10
58.535	-5.16597e-10
58.54	-5.57069e-10
58.545	-5.94131e-10
58.55	-6.22325e-10
58.555	-6.49838e-10
58.56	-6.72348e-10
58.565	-6.8599e-10
58.57	-6.77804e-10
58.575	-6.63253e-10
58.58	-6.29601e-10
58.585	-5.73213e-10
58.59	-4.99316e-10
58.595	-3.94268e-10
58.6	-2.80126e-10
58.605	-1.33014e-10
58.61	4.47928e-11
58.615	2.31922e-10
58.62	4.29056e-10
58.625	6.33921e-10
58.63	8.44697e-10
58.635	1.05889e-09
58.64	1.25829e-09
58.645	1.4361e-09
58.65	1.59321e-09
58.655	1.72327e-09
58.66	1.80922e-09
58.665	1.85106e-09
58.67	1.86289e-09
58.675	1.83537e-09
58.68	1.75329e-09
58.685	1.64506e-09
58.69	1.49067e-09
58.695	1.30832e-09
