pos	X
58.0	2.04638e-12
58.005	2.04638e-12
58.01	2.04638e-12
58.015	1.59162e-12
58.02	1.819e-12
58.025	1.819e-12
58.03	2.27375e-12
58.035	2.04638e-12
58.04	1.59162e-12
58.045	1.819e-12
58.05	1.59162e-12
58.055	2.27375e-12
58.06	1.819e-12
58.065	2.04638e-12
58.07	1.36425e-12
58.075	2.04638e-12
58.08	2.04638e-12
58.085	1.819e-12
58.09	2.95587e-12
58.095	2.27375e-12
58.1	2.50112e-12
58.105	2.27375e-12
58.11	2.27375e-12
58.115	1.819e-12
58.12	1.819e-12
58.125	1.819e-12
58.13	1.819e-12
58.135	1.819e-12
58.14	2.27375e-12
58.145	1.819e-12
58.15	2.27375e-12
58.155	1.59162e-12
58.16	1.59162e-12
58.165	1.36425e-12
58.17	2.27375e-12
58.175	1.819e-12
58.18	1.59162e-12
58.185	2.27375e-12
58.19	2.27375e-12
58.195	2.04638e-12
58.2	1.819e-12
58.205	2.27375e-12
58.21	2.27375e-12
58.215	1.819e-12
58.22	1.819e-12
58.225	1.819e-12
58.23	2.27375e-12
58.235	1.819e-12
58.24	1.13688e-12
58.245	6.82124e-13
58.25	1.36425e-12
58.255	1.36425e-12
58.26	1.13688e-12
58.265	6.82124e-13
58.27	1.819e-12
58.275	2.04638e-12
58.28	1.13688e-12
58.285	1.13688e-12
58.29	1.59162e-12
58.295	6.82124e-13
58.3	1.59162e-12
58.305	6.82124e-13
58.31	1.13688e-12
58.315	1.819e-12
58.32	1.13688e-12
58.325	4.54751e-13
58.33	1.13688e-12
58.335	1.36425e-12
58.34	1.13688e-12
58.345	2.04638e-12
58.35	1.819e-12
58.355	2.27375e-12
58.36	2.27375e-12
58.365	1.819e-12
58.37	2.04638e-12
58.375	2.27375e-12
58.38	2.04638e-12
58.385	1.819e-12
58.39	2.27375e-12
58.395	2.95587e-12
58.4	2.95587e-12
58.405	2.7285e-12
58.41	1.59162e-12
58.415	1.819e-12
58.42	1.819e-12
58.425	1.819e-12
58.43	1.59162e-12
58.435	1.59162e-12
58.44	1.13688e-12
58.445	6.82124e-13
58.45	9.09502e-13
58.455	6.82124e-13
58.46	6.82124e-13
58.465	6.82124e-13
58.47	6.82124e-13
58.475	-2.27375e-13
58.48	0.0
58.485	4.54751e-13
58.49	0.0
58.495	-6.82124e-13
58.5	-2.27375e-13
58.505	0.0
58.51	-4.54751e-13
58.515	-6.82124e-13
58.52	-1.36425e-12
58.525	-1.36425e-12
58.53	-6.82124e-13
58.535	-6.82124e-13
58.54	-6.82124e-13
58.545	-9.09502e-13
58.55	-1.13688e-12
58.555	0.0
58.56	0.0
58.565	2.27375e-13
58.57	-6.82124e-13
58.575	0.0
58.58	0.0
58.585	4.54751e-13
58.59	1.13688e-12
58.595	1.13688e-12
58.6	9.09502e-13
58.605	1.13688e-12
58.61	1.36425e-12
58.615	1.59162e-12
58.62	1.36425e-12
58.625	1.59162e-12
58.63	1.819e-12
58.635	2.7285e-12
58.64	2.95587e-12
58.645	3.18325e-12
58.65	3.18325e-12
58.655	3.18325e-12
58.66	4.32013e-12
58.665	5.00225e-12
58.67	6.13912e-12
58.675	5.91174e-12
58.68	5.91174e-12
58.685	7.04861e-12
58.69	7.50339e-12
58.695	8.86763e-12
58.7	8.86763e-12
58.705	9.54975e-12
58.71	1.04592e-11
58.715	1.20509e-11
58.72	1.29604e-11
58.725	1.2733e-11
