pos	X
58.0	2.04638e-12
58.005	1.819e-12
58.01	1.36425e-12
58.015	2.27375e-12
58.02	1.819e-12
58.025	2.27375e-12
58.03	1.36425e-12
58.035	1.13688e-12
58.04	1.819e-12
58.045	1.819e-12
58.05	2.27375e-12
58.055	2.27375e-12
58.06	2.27375e-12
58.065	2.04638e-12
58.07	1.819e-12
58.075	1.819e-12
58.08	2.27375e-12
58.085	2.04638e-12
58.09	2.04638e-12
58.095	2.27375e-12
58.1	2.27375e-12
58.105	2.27375e-12
58.11	1.819e-12
58.115	2.27375e-12
58.12	1.36425e-12
58.125	2.04638e-12
58.13	1.819e-12
58.135	2.95587e-12
58.14	2.27375e-12
58.145	2.27375e-12
58.15	2.04638e-12
58.155	2.27375e-12
58.16	2.7285e-12
58.165	1.819e-12
58.17	1.819e-12
58.175	2.04638e-12
58.18	2.27375e-12
58.185	2.27375e-12
58.19	2.04638e-12
58.195	2.04638e-12
58.2	2.27375e-12
58.205	2.50112e-12
58.21	1.59162e-12
58.215	1.819e-12
58.22	1.819e-12
58.225	2.27375e-12
58.23	1.819e-12
58.235	2.27375e-12
58.24	1.819e-12
58.245	1.819e-12
58.25	2.27375e-12
58.255	1.819e-12
58.26	1.13688e-12
58.265	1.13688e-12
58.27	2.04638e-12
58.275	9.09502e-13
58.28	1.13688e-12
58.285	1.13688e-12
58.29	1.819e-12
58.295	1.819e-12
58.3	2.27375e-12
58.305	1.59162e-12
58.31	9.09502e-13
58.315	1.13688e-12
58.32	1.59162e-12
58.325	9.09502e-13
58.33	2.04638e-12
58.335	1.819e-12
58.34	1.36425e-12
58.345	1.36425e-12
58.35	1.819e-12
58.355	1.819e-12
58.36	2.04638e-12
58.365	1.59162e-12
58.37	2.7285e-12
58.375	2.50112e-12
58.38	2.7285e-12
58.385	2.50112e-12
58.39	2.7285e-12
58.395	2.27375e-12
58.4	2.04638e-12
58.405	2.95587e-12
58.41	2.04638e-12
58.415	2.27375e-12
58.42	2.7285e-12
58.425	2.50112e-12
58.43	2.95587e-12
58.435	2.50112e-12
58.44	2.27375e-12
58.445	2.27375e-12
58.45	1.819e-12
58.455	1.59162e-12
58.46	1.819e-12
58.465	1.59162e-12
58.47	1.59162e-12
58.475	1.819e-12
58.48	2.04638e-12
58.485	2.04638e-12
58.49	1.13688e-12
58.495	1.819e-12
58.5	1.819e-12
58.505	1.819e-12
58.51	2.27375e-12
58.515	2.04638e-12
58.52	2.7285e-12
58.525	2.7285e-12
58.53	2.27375e-12
58.535	3.63801e-12
58.54	4.32013e-12
58.545	4.32013e-12
58.55	4.77487e-12
58.555	5.22962e-12
58.56	5.457e-12
58.565	5.91174e-12
58.57	6.13912e-12
58.575	7.04861e-12
58.58	7.27601e-12
58.585	7.95813e-12
58.59	9.32238e-12
58.595	8.64026e-12
58.6	9.32238e-12
58.605	1.00045e-11
58.61	1.02319e-11
58.615	1.11414e-11
58.62	1.22782e-11
58.625	1.2733e-11
58.63	1.36425e-11
58.635	1.43246e-11
58.64	1.43246e-11
58.645	1.4552e-11
58.65	1.50068e-11
58.655	1.54615e-11
58.66	1.61436e-11
58.665	1.68258e-11
58.67	1.70531e-11
58.675	1.70531e-11
58.68	1.75079e-11
58.685	1.72805e-11
58.69	1.70531e-11
58.695	1.68258e-11
58.7	1.61436e-11
58.705	1.61436e-11
58.71	1.43246e-11
58.715	1.2733e-11
58.72	1.15961e-11
