pos	X
58.0	2.04638e-12
58.005	1.36425e-12
58.01	1.819e-12
58.015	2.04638e-12
58.02	2.95587e-12
58.025	2.27375e-12
58.03	1.36425e-12
58.035	1.59162e-12
58.04	1.819e-12
58.045	1.13688e-12
58.05	1.59162e-12
58.055	1.13688e-12
58.06	1.819e-12
58.065	1.819e-12
58.07	2.27375e-12
58.075	2.04638e-12
58.08	2.27375e-12
58.085	2.27375e-12
58.09	2.27375e-12
58.095	2.50112e-12
58.1	2.95587e-12
58.105	2.50112e-12
58.11	2.04638e-12
58.115	1.819e-12
58.12	2.50112e-12
58.125	2.27375e-12
58.13	2.50112e-12
58.135	2.50112e-12
58.14	2.27375e-12
58.145	3.18325e-12
58.15	2.95587e-12
58.155	2.7285e-12
58.16	2.27375e-12
58.165	2.7285e-12
58.17	3.18325e-12
58.175	2.50112e-12
58.18	2.50112e-12
58.185	2.27375e-12
58.19	2.27375e-12
58.195	2.27375e-12
58.2	2.27375e-12
58.205	2.27375e-12
58.21	2.50112e-12
58.215	2.95587e-12
58.22	1.819e-12
58.225	1.819e-12
58.23	1.59162e-12
58.235	1.819e-12
58.24	2.27375e-12
58.245	2.04638e-12
58.25	1.59162e-12
58.255	2.04638e-12
58.26	2.04638e-12
58.265	1.36425e-12
58.27	6.82124e-13
58.275	1.59162e-12
58.28	1.59162e-12
58.285	1.819e-12
58.29	1.819e-12
58.295	1.819e-12
58.3	1.13688e-12
58.305	1.13688e-12
58.31	1.13688e-12
58.315	1.819e-12
58.32	1.819e-12
58.325	1.819e-12
58.33	1.819e-12
58.335	1.36425e-12
58.34	1.819e-12
58.345	9.09502e-13
58.35	1.819e-12
58.355	1.36425e-12
58.36	1.819e-12
58.365	2.95587e-12
58.37	2.95587e-12
58.375	2.95587e-12
58.38	2.50112e-12
58.385	2.27375e-12
58.39	2.27375e-12
58.395	2.27375e-12
58.4	2.27375e-12
58.405	2.7285e-12
58.41	2.7285e-12
58.415	2.04638e-12
58.42	1.819e-12
58.425	1.36425e-12
58.43	1.819e-12
58.435	2.04638e-12
58.44	1.819e-12
58.445	1.819e-12
58.45	2.27375e-12
58.455	1.59162e-12
58.46	1.819e-12
58.465	2.27375e-12
58.47	2.04638e-12
58.475	1.59162e-12
58.48	1.819e-12
58.485	2.27375e-12
58.49	1.36425e-12
58.495	1.36425e-12
58.5	9.09502e-13
58.505	1.59162e-12
58.51	1.13688e-12
58.515	1.819e-12
58.52	2.27375e-12
58.525	2.27375e-12
58.53	2.95587e-12
58.535	2.50112e-12
58.54	2.7285e-12
58.545	3.41062e-12
58.55	4.32013e-12
58.555	5.00225e-12
58.56	5.22962e-12
58.565	6.36649e-12
58.57	5.91174e-12
58.575	6.59386e-12
58.58	7.50339e-12
58.585	8.18551e-12
58.59	9.095e-12
58.595	8.41288e-12
58.6	9.32238e-12
58.605	9.77712e-12
58.61	1.04592e-11
58.615	1.11414e-11
58.62	1.22782e-11
58.625	1.2733e-11
58.63	1.34151e-11
58.635	1.38698e-11
58.64	1.43246e-11
58.645	1.47794e-11
58.65	1.50068e-11
58.655	1.56889e-11
58.66	1.54615e-11
58.665	1.65984e-11
58.67	1.68258e-11
58.675	1.72805e-11
58.68	1.6371e-11
58.685	1.68258e-11
58.69	1.70531e-11
58.695	1.59163e-11
58.7	1.59163e-11
58.705	1.47794e-11
58.71	1.43246e-11
58.715	1.2733e-11
58.72	1.11414e-11
58.725	9.32238e-12
58.73	7.27601e-12
58.735	4.09275e-12
58.74	1.13688e-12
58.745	-2.04638e-12
58.75	-5.68437e-12
58.755	-1.04592e-11
58.76	-1.52341e-11
58.765	-2.0009e-11
58.77	-2.79671e-11
58.775	-3.54705e-11
58.78	-4.22917e-11
58.785	-5.20688e-11
58.79	-6.18461e-11
58.795	-7.276e-11
58.8	-8.61751e-11
58.805	-1.005e-10
58.81	-1.15052e-10
58.815	-1.32332e-10
58.82	-1.50522e-10
58.825	-1.68257e-10
58.83	-1.89403e-10
58.835	-2.11231e-10
58.84	-2.33969e-10
58.845	-2.5466e-10
58.85	-2.76488e-10
58.855	-2.97634e-10
58.86	-3.1787e-10
58.865	-3.32877e-10
58.87	-3.45837e-10
58.875	-3.52658e-10
58.88	-3.54477e-10
58.885	-3.4902e-10
58.89	-3.31285e-10
58.895	-3.11049e-10
58.9	-2.68757e-10
58.905	-2.18962e-10
58.91	-1.55297e-10
58.915	-7.43516e-11
58.92	1.52341e-11
58.925	1.01182e-10
