pos	X
58.0	2.27375e-12
58.005	2.27375e-12
58.01	1.819e-12
58.015	2.27375e-12
58.02	1.819e-12
58.025	1.819e-12
58.03	1.59162e-12
58.035	1.819e-12
58.04	1.36425e-12
58.045	1.819e-12
58.05	1.819e-12
58.055	2.04638e-12
58.06	1.819e-12
58.065	2.27375e-12
58.07	2.27375e-12
58.075	1.819e-12
58.08	1.819e-12
58.085	2.04638e-12
58.09	2.7285e-12
58.095	2.27375e-12
58.1	2.27375e-12
58.105	1.819e-12
58.11	2.50112e-12
58.115	1.819e-12
58.12	1.819e-12
58.125	1.819e-12
58.13	2.50112e-12
58.135	1.819e-12
58.14	1.59162e-12
58.145	1.819e-12
58.15	2.50112e-12
58.155	2.95587e-12
58.16	2.04638e-12
58.165	1.819e-12
58.17	2.27375e-12
58.175	1.819e-12
58.18	2.27375e-12
58.185	2.7285e-12
58.19	2.27375e-12
58.195	2.27375e-12
58.2	2.50112e-12
58.205	1.819e-12
58.21	1.819e-12
58.215	2.27375e-12
58.22	1.819e-12
58.225	1.819e-12
58.23	2.04638e-12
58.235	2.27375e-12
58.24	1.819e-12
58.245	1.59162e-12
58.25	2.27375e-12
58.255	2.7285e-12
58.26	2.04638e-12
58.265	1.59162e-12
58.27	1.59162e-12
58.275	1.13688e-12
58.28	6.82124e-13
58.285	9.09502e-13
58.29	2.27375e-13
58.295	1.13688e-12
58.3	9.09502e-13
58.305	1.59162e-12
58.31	1.36425e-12
58.315	1.59162e-12
58.32	1.819e-12
58.325	1.13688e-12
58.33	1.13688e-12
58.335	1.13688e-12
58.34	1.819e-12
58.345	1.13688e-12
58.35	1.59162e-12
58.355	1.819e-12
58.36	2.04638e-12
58.365	1.819e-12
58.37	2.7285e-12
58.375	2.27375e-12
58.38	2.27375e-12
58.385	2.27375e-12
58.39	2.27375e-12
58.395	1.59162e-12
58.4	1.36425e-12
58.405	2.27375e-12
58.41	2.04638e-12
58.415	1.819e-12
58.42	1.819e-12
58.425	1.13688e-12
58.43	1.59162e-12
58.435	2.7285e-12
58.44	1.819e-12
58.445	1.13688e-12
58.45	1.36425e-12
58.455	1.13688e-12
58.46	9.09502e-13
58.465	4.54751e-13
58.47	1.13688e-12
58.475	9.09502e-13
58.48	4.54751e-13
58.485	-2.27375e-13
58.49	-6.82124e-13
58.495	-2.27375e-13
58.5	-6.82124e-13
58.505	-6.82124e-13
58.51	-6.82124e-13
58.515	-1.13688e-12
58.52	-1.13688e-12
58.525	-9.09502e-13
58.53	-1.13688e-12
58.535	-9.09502e-13
58.54	-6.82124e-13
58.545	-4.54751e-13
58.55	0.0
58.555	-4.54751e-13
58.56	-4.54751e-13
58.565	-6.82124e-13
58.57	-2.27375e-13
58.575	2.27375e-13
58.58	4.54751e-13
58.585	4.54751e-13
58.59	0.0
58.595	0.0
58.6	4.54751e-13
58.605	1.36425e-12
58.61	1.59162e-12
58.615	1.819e-12
58.62	1.13688e-12
58.625	2.04638e-12
58.63	1.819e-12
58.635	2.04638e-12
58.64	2.7285e-12
58.645	2.27375e-12
58.65	3.63801e-12
58.655	4.5475e-12
58.66	4.32013e-12
58.665	4.77487e-12
58.67	4.77487e-12
58.675	5.457e-12
58.68	6.59386e-12
58.685	7.27601e-12
58.69	8.18551e-12
58.695	7.95813e-12
58.7	9.54975e-12
58.705	9.32238e-12
58.71	1.02319e-11
58.715	1.11414e-11
58.72	1.20509e-11
58.725	1.25056e-11
58.73	1.29604e-11
58.735	1.40972e-11
58.74	1.43246e-11
58.745	1.6371e-11
58.75	1.70531e-11
58.755	1.86448e-11
58.76	1.819e-11
58.765	1.93269e-11
58.77	1.97816e-11
58.775	2.09185e-11
58.78	2.22827e-11
58.785	2.16006e-11
58.79	2.1828e-11
58.795	2.31922e-11
58.8	2.29649e-11
58.805	2.38743e-11
58.81	2.3647e-11
58.815	2.3647e-11
58.82	2.38743e-11
58.825	2.29649e-11
58.83	2.22827e-11
58.835	2.1828e-11
58.84	2.02364e-11
58.845	1.97816e-11
58.85	1.79626e-11
58.855	1.65984e-11
58.86	1.47794e-11
58.865	1.20509e-11
58.87	1.00045e-11
58.875	6.59386e-12
58.88	2.27375e-12
58.885	-1.36425e-12
58.89	-6.36649e-12
58.895	-1.20509e-11
58.9	-1.75079e-11
58.905	-2.34196e-11
58.91	-3.06957e-11
58.915	-3.88811e-11
58.92	-4.70666e-11
58.925	-5.72984e-11
58.93	-6.70757e-11
58.935	-8.0036e-11
58.94	-9.36784e-11
58.945	-1.06184e-10
58.95	-1.22783e-10
58.955	-1.40973e-10
58.96	-1.59845e-10
58.965	-1.80763e-10
58.97	-2.01681e-10
58.975	-2.23509e-10
58.98	-2.47384e-10
58.985	-2.73532e-10
58.99	-2.96724e-10
58.995	-3.18325e-10
59.0	-3.39698e-10
59.005	-3.61526e-10
59.01	-3.78352e-10
59.015	-3.92676e-10
59.02	-3.98588e-10
59.025	-3.94268e-10
59.03	-3.78124e-10
59.035	-3.52658e-10
59.04	-3.17188e-10
59.045	-2.63528e-10
59.05	-1.93041e-10
59.055	-1.15506e-10
59.06	-2.20554e-11
59.065	8.11728e-11
59.07	1.8531e-10
59.075	3.13323e-10
59.08	4.41107e-10
59.085	5.61162e-10
59.09	6.8599e-10
59.095	7.98767e-10
59.1	8.92218e-10
59.105	9.70438e-10
59.11	1.03433e-09
59.115	1.0673e-09
59.12	1.07594e-09
59.125	1.05775e-09
59.13	1.01159e-09
59.135	9.42926e-10
59.14	8.59476e-10
59.145	7.47153e-10
59.15	6.29601e-10
59.155	4.8772e-10
59.16	3.40835e-10
59.165	1.97816e-10
59.17	4.02454e-11
59.175	-1.06866e-10
59.18	-2.39654e-10
59.185	-3.56296e-10
59.19	-4.71122e-10
59.195	-5.65255e-10
59.2	-6.41197e-10
59.205	-7.07136e-10
59.21	-7.44652e-10
59.215	-7.70346e-10
59.22	-7.75803e-10
59.225	-7.6648e-10
59.23	-7.38286e-10
59.235	-6.96676e-10
59.24	-6.44381e-10
59.245	-5.83672e-10
59.25	-5.17051e-10
59.255	-4.40879e-10
59.26	-3.66528e-10
59.265	-2.84901e-10
59.27	-2.06229e-10
59.275	-1.33924e-10
59.28	-6.36651e-11
59.285	2.27375e-12
59.29	6.82125e-11
59.295	1.20736e-10
59.3	1.70076e-10
59.305	2.12141e-10
59.31	2.43292e-10
59.315	2.71941e-10
59.32	2.91495e-10
59.325	3.04455e-10
59.33	3.10139e-10
59.335	3.10594e-10
59.34	3.04e-10
59.345	2.92859e-10
59.35	2.74442e-10
59.355	2.55115e-10
59.36	2.30558e-10
59.365	2.02136e-10
59.37	1.72123e-10
59.375	1.40745e-10
59.38	1.0914e-10
59.385	7.79896e-11
59.39	4.5475e-11
59.395	1.18235e-11
59.4	-1.68258e-11
59.405	-4.3656e-11
59.41	-7.13958e-11
59.415	-9.43605e-11
59.42	-1.14142e-10
59.425	-1.32332e-10
59.43	-1.46884e-10
59.435	-1.54842e-10
59.44	-1.63028e-10
59.445	-1.67348e-10
59.45	-1.69849e-10
59.455	-1.67348e-10
59.46	-1.628e-10
59.465	-1.56889e-10
59.47	-1.47794e-10
59.475	-1.37335e-10
59.48	-1.25739e-10
59.485	-1.13687e-10
59.49	-9.93627e-11
59.495	-8.54929e-11
59.5	-7.20779e-11
59.505	-5.91176e-11
59.51	-4.43381e-11
59.515	-3.02409e-11
59.52	-1.84174e-11
59.525	-7.04861e-12
59.53	3.63801e-12
59.535	1.29604e-11
59.54	2.25101e-11
59.545	2.91041e-11
59.55	3.41063e-11
59.555	3.84264e-11
59.56	4.16096e-11
59.565	4.45655e-11
59.57	4.57023e-11
59.575	4.59297e-11
59.58	4.47928e-11
59.585	4.38833e-11
59.59	4.11549e-11
59.595	3.79716e-11
59.6	3.36515e-11
59.605	2.86492e-11
59.61	2.43291e-11
59.615	1.79626e-11
59.62	1.31877e-11
59.625	8.64026e-12
59.63	2.50112e-12
59.635	-1.819e-12
59.64	-6.59386e-12
59.645	-1.00045e-11
59.65	-1.40972e-11
59.655	-1.61436e-11
59.66	-1.75079e-11
